way,esp
"Müleka nnojoru le suwalaajüin, nata’üleena süchonniikana.","Si ella no paga, ellos arrestarán a sus hijos."
"Ja’itaichi asakinnüin pia, nnojoluinjatü kasain püküjain a chiki.","Aunque te pregunten, no vayas a contar nada."
Püchepajapa toꞋupüna.,Píntame la cara.
Yüü maa ’atshi nüpüyalu ’u jüpüla tü jierü a ’ikajaapu ’ukolu niküin.,Permaneció solitaria la casa de él para la mujer que habitualmente le llevaba comida.
Joutsu eküülü tepialu’u .,La comida abunda en mi casa.
"Jüikala, tantir aiwa jümüin santaaliaka a süpüla ji'rüinjatüin shia.","Siéntense, ya les traigo las sandalias para que las vean."
achajaashaanashi,busca mucho
"Eetaapa’a shia nüpüla süchikijatü o’oojoo, ma'atüinyülüya süshe’in.","La encontró después de ella bañarse, todavía no se había puesto su vestido."
"Naashajaapu'u amaalü jii'iree joonooin nümaa, akatsa'a a'alijiraa in nuulia",Le hablaba frecuentemente a ella para que lo aceptase; pero la mujer se negaba.
Alü’üjünüsü nipialu’umüin reikai [tü apünüinsükalüirua jula’a ].,Las tres tinajas fueron llevadas a la casa del rey.
Eesü wanee küranja kalu'usu wanee laa.,Hay una granja que  tiene un jagüey.
Ekaa,Ekaa
Awataashi,"Estoy, estaba corriendo"
Tachajaainjatü tü saruweesakalü.,Yo voy a buscar la cerveza.
Yüü maa ’atshi nüpüyalu ’u jüpüla tü jierü a ’ikajaapu ’ukolu niküin.,Permaneció solitaria la casa de él para la mujer que habitualmente le llevaba comida.
Tapüleerua,Delante de mi
¿Je’tseesü pikü in?,¿De qué tamaño (= cantidad) quieres comer?
¿Jalasü nipia püꞋlaülakai Andres?,¿Dónde vive tu tío Andrés?
"Aka sukua'ipa sülu'u tüü Konstitusionka jee Leikatüirua, tüü sümainka wayuu sülu'uata alu'ulü wayuu nakua'ipalü laulayuu. Nalu'uwatainjatu alu'u no'ummain süka tüü: Shiawase wanee (1). Jülu 'ujainjatü a'in tüü alu 'uwatanaka süpula sajapülu 'ujia mma jee müsuya kepiajirawa sülu'u. Shiawase Piama (2). E'itawa sa'in süpushua tüü kasa cho'ujaka süpula anainjatüin sukua'ipa no'ummain sümalee anain na'in sülu'u ma'aka sainüin süpulerua mmaka süpushua. Shiawase Apünuin Süma Jara'i (3 y 5). A'inmajia süpushua kasa eekat sülu'u mmaka. Shiawase Pienchi Süma Akaratshi (4 y 7). Jülu 'ujirawa a'in süma sülaulayuu mma sü'ülia e'in kasachiki no'ummainpa. Shiawase Jara'i Süma Mekiisat (5 y 8). Süche'epüjana no'ummain eemüin naa sulaulayuukana mma jee eepünale sükua'ipa. Shiawase Mekietsa (9). A'aka müin sülu'u Konstitusionka.","De conformidad con la Constitución y las leyes, los territorios indígenas estarán gobernados por consejos conformados y reglamentados según los usos y costumbres de sus comunidades y ejercerán las siguientes funciones: 1. Velar por la aplicación de las normas legales sobre usos del suelo y poblamiento de sus territorios. 2. Diseñar las políticas y los planes y programas de desarrollo económico y social dentro de su territorio, en armonía con el Plan Nacional de Desarrollo. 3. Promover las inversiones públicas en sus territorios y velar por su debida ejecución. 4. Percibir y distribuir sus recursos. 5. Velar por la preservación de los recursos naturales. 6. Coordinar los programas y proyectos promovidos por las diferentes comunidades en su territorio. 7. Colaborar con el mantenimiento el orden público dentro de su territorio de acuerdo con las instrucciones y disposiciones del Gobierno Nacional. 8. Representar a los territorios ante el Gobierno Nacional y las demás entidades territoriales a las cuales se integren, y 9. Las que le señalen la Constitución y la ley."
"Che'ujaasü amüchi jümüin tei, [amüchi kalaka tokolojüin jümüin ].","A mi madre le hacía falta una múcura, y por eso una múcura le traje de regalo."
"Ottajatsa  watta'a tü mi'irakaa, jüntai watta chon maalü , nnojoo jüntirüin juwotsoin.","Mañana vengan temprano , es el primer día del encuentro  cultural, no traigan sus bolsos."
Ee paa’in jüna in niküin Kamiirü.,Está tú pendiente de la comida de Camilo.
Suukala,Azúcar
¿Jaralü alü'jüinjatka wayuunkera?,¿Quiénes van a llevar muñecas de barro?
"Müleka nnojoru leje eein shia, nnojotsü je taküjain achiki jümüin.","Si ello no fuera  así, yo no se lo hubiera dicho  a ustedes."
Jalairü yaam üin.,Vente para acá .
¿Eesü asalaa cha ꞌaya suluꞌu  aikaaleekalü?,¿Hay carne allá en la tienda?
"Ma’aka piküle maimawai tü jüchon  kanewakalü  tepichiiwa’aya pia, müle’upa pia müliapu’ujee chi pia jutuma tü wüñaasükalü.","Si comes muchas veces el fruto del mamón de niño, cuando grande sufrirás por la sed."
talataa,estar contento
"Piratüi,  3.500, süyatapü naa, 2.500","Lleno, 3.500, medio, 2.5 00"
Antüshii tepialu’umüin [ja’raishii wayuu mojulaajüshii ].,Llegaron a mi casa cinco hombres malvados.
Wa’lakajaa injatü tü asalaa kalü,Vamos a cocinar  la carne. (Específico)
tü jierü puusajakalü watta’inka,la mujer [que tú besaste ayer]
"Ma'aka aire jemiai jamüin, jalaina yaamüin  yaa tamaa.","Si tienen frío, vengan hacia acá  conmigo."
Talatashaanashi ma ’in taya aka makatüin pia tamaa.,Yo estoy muy contento porque tú te quedaste conmigo.
Anta müs ü tatünajutu  sumaa apünüinsü susu.,Mi amiga llegó  de improviso  con tres mochilas.
"Anachonsü t üüirua, ¿jam üsü saaꞌin m üin?","Bastante carne, ¿Qué vas a hacer?"
"Nnojolüinjatü pü’yonoojüin  tü pu’walakalü , ja’itairü jotonta'alüin  shia.","No vayas a cortar tus  cabellos, aunque ellos cuelguen."
"Aa, miyo 'uyuu tüüirua ¿Je'rasü kei'reeka paa'in?","Si, están grandes , ¿Cuántas quieres?"
Taya’laja atoleekase chi Juan.,Yo compré el saco de Juan.
"Mayaashii antüin jiairua jünain  asütaa kaa'ulakai, süsiinakaijasa  nia tatuma.","En cuanto ustedes lleguen a quitar el chivo, ya lo habré hecho cecina."
Nnojoluinjatü amaanüin tepichi nnojoikana ekirajaain sulu'u tü ekirajiapüleekalü.,No pueden llevar niños que no estudien en esta escuela.
Wa’lakajaa injatü tü asalaa kalü.,Vamos a cocinar la carne.
"Süchikijee outuin majayütkalü, amojujaasü miichipa’akalü.","Después que se murió la muchacha, la casa se deterioró."
"Teenajüinjana jia süka jünülia, eekai aapüin sünülia, “anuu taya ” joo “anii taya ” müinjana , ¿müsün?","Voy a llamar a lista, Contesten , “presente ”, ¿entendieron?"
"Japüishi chira  jintüi kai, nnojoishi ekeein o'upalaa.","Ese niño tiene verg üenza, no qui ere comer delante de alguien."
"Wainma maꞌin asalaa, ¿jamüinjat ü pümüin?",Yo necesito unas sandalias negras para la fiesta de mañana en la noche.
Ayonnajeerü,Yo bailaré
achajaapüchi müshi,busca poco a poco
Alataasü wü chiichonkalü soo’omüin wanee wunu’uya ’asa.,La pajarita se pasó hacia otro palo.
"Nnojolüinjatü pü’yonoojüin  tü pu’walakalü , ja’itairü jotonta'alüin  shia.","No vayas a cortar tus  cabellos, aunque ellos cuelguen."
"Chajaakuu, chajaakuu müshija ’a joolu ’u nia, eirakawa ’ayatüshi mapünaa aka tia.","Lo buscaba, lo buscaba, miraba por todas partes."
¿Ashajayaashikaleje'e chira ?,¿Ése está escribiendo o no?
Masakuusai Kamiirü sutuma Noora.,Camilo no fue saludado por Nora.
Mojulaajüshi paala yaajee yaan; [nnojoiyaa jase'e tajüteein nia jalamüin yaa ].,Estando aquí se portó mal; por eso yo no deseaba enviarlo para ninguna otra parte.
"Ma’aka p o’loole kaa’ulakalüirua, paapeerü tamüin.","Si fueran diez las cabras, me las darás."
asha’walawaa,pararse
"Keila Aisü jemiai, a Ꞌitüsü juya waneepia, aseratnüsü tü ekirajüleekalü maalü ,otta tü wopuk aa piratüsü wuin","Hace fr ío, llovi ó todo el d ía, la escuela cerr ó temprano  y la carretera está inundada"
¿Atüjashi pia ouuttaa jüka korompa? ¿Atüjashi pia asonoo?,¿Tú sabes hilar con el huso  korompa ? ¿Tú sabes tejer?
emiraa,estar saciado
Talatüsü tayakaa süka yaain taya jümaa.,Estoy contenta de estar con ustedes.
tap ü tü l e,si dejo
¿Jala kuwalii alijunakana yaa ?,¿Hacia dónde se dirigen los criollos?
"Nnojoleerü tejeerajüin jüyaakuwa takatünasüin, aka kapülee in jia tapüleerua","No dibujaré mi avión, por que es difícil para mí."
"Jama püshikai, ¿kasa'irukui nia?","Y tu papá, ¿qué clan es?"
"c. Pü'lakajainjatü tü asalaakaa, jawa'awapa shia, pijitüin rooko.","Pones a hervir la carne hasta que esté blanda, luego le agregas el arroz."
ojutalaa,abrir
"Chajaakuu, c hajaakuu müshija ’a joolu ’u nia, eirakawa ’ayatüshi mapünaa aka tia.","Lo buscaba, lo buscaba, miraba por todas partes."
¿Jalashi laülaakai yaa? – Aikalaashi Ø pejeru'u nünain Luuka.,¿Dónde está el viejo? – Se sentó cerca  de Lucas.
Apünüinjeena na kaa’ula taapeenakana pümüin.,Serán tres los chivos que te daré a ti.
¿Jala müinshii laülaayuukana yaa?,¿A dónde se han ido los viejos?
Irama,Venado
"Aa, antajachi taya si'iralüin müshia ekirajaainjachi süka tü türompakaa  müshi tamüin ekirajüikai.","Si, el profesor me dijo que viniera en guayuco y practicara con la flauta ."
Ipale'eya  joutka yaapünaa yaa .,Es piedra lo que  abunda por aquí
Che'ujaasü,Hace falta
achajaakuu müshi,busca inadecuadamente
’iree  DESEO  apüta’aireeshi,desea mucho dejar
"Nnojotsü müin aka pia pounuwajayaasü, mamaneejasalü jiairua ya'asa .","Ellas no son delgadas c omo tú, y además no son amables ."
¡Anachonkatche wayuusheꞌinkaa ! ¿jalajatü püya'lajüin?,¡Qué manta tan bonita! ¿dónde la compraste?
¿Kasa jaa Ꞌinraka a?,¿Qué hacen?
"Kojosü ma ’in sirumakalü joolu ’u, a’iteerü wanee  juya müle ’u.","Está espesa la nube, va a caer un fuerte aguacero."
Ayonnajüsü,"Estoy, estaba  bailando"
"Eesü wanee ishosü, ¿tasaajüin pümüin?","Tengo una roja, ¿te la traigo?"
Majayülü,Señorita
"Ma’aka piküle maimawai tü jüchon kanewakalü tepichiiwa’aya pia, müle’upa pia müliapu’ujeechi pia jutuma tü wüñaasükalü.","Si comes muchas veces el fruto del mamón siendo niño, cuando seas grande sufrirás por la sed."
Te’rüin piantua po’looin shikii polu  sünainmüin ja’rai shikii apünüinmüin,Yo vi doscientas cincuenta y tres  (253) hachas.
iraa,ser insípido
Pia nnojoleechika asaküin Shakiira.,Eres tú el que  no saludará a Shakira
Piainjachi  outaka joolu'u .,Eres tú el que  va a morir ahora
¿Jalasü eere kuleesiakaa?,¿Dónde queda la iglesia?
Su’ttirüin Piipa tü chaamaakalü sulu’umüin tü luma eepu’ ule nia.,La bruja colocó a Pipo en la enramada donde él solía estar.
"Nnojotsü kapüleein türa,",Eso no es difícil
kamanewaa,ser amable
¿Kasa jaa'inraka?,¿Qué hacen ustedes?
[Tachotoo akuluutse chi]s-V-o [Luuka ]O.,Yo corté la tela de Lucas.
Nnojotsü yaletayaainjatüin paa'in wanaa sümaa paashajaain nümaa Ma’leiwa.,No debes ser arrogante en el momento en que tú hables con Dios.
Eepu'usu wanee wayuu aainjülü katto Ꞌui sü'ütpa'a metkaatkaa,Había una wayuu que hacia mochilas cerca del mercado
Kantaraalia atüküsü s uwayunkeerain süka pootshi .,Kantaraalia hizo su muñeca con barro.
"Keila  Saashin süpü Ꞌüyakaa, eitüinjatü suchuku wa'a watta'a",Según los pronósticos mañana continu rá lloviendo
Shiishitaa,Estar grasiento
"Müleka nüchon le pia Ma’leiwa, puluwataa türa ipakat shii’iranajaaiwa pan.","Si eres Hijo de Dios, ordena que estas piedras se conviertan en pan."
anamiaa,ser pacífico
Kushematai nnojoishi o'unapia müin jünain olojoo wü chii eemüin laakalü,Kushematai no volvió más a cazar aves al jagüey
"Paala jümaiwa ekapu'ushi chi tashikai sichuwala jümaa keesü , jero'o  jiale , maiki irolu a'ajaaushi , a'lakajaaushi  jiale .","Antes mi padre solía comer bollitos con queso o cuajada, maíz tierno asado o cocinado."
"Anayaawa tsejeꞌe, eeirü  taya sotpaꞌa  masü in kepein","Aquí les traje café, mientras viene el almuerzo."
"Ke’ichikuu müshii tepichikana, ejenüshii mmoolu ’umüin.",Los muchachos olfateaban y escupían el suelo.
Aya’lajeechi taya wanee miichi  chaa’aya Marakaaya.,Yo compraré una casa a llá en Maracaibo.
"Anii ta'laüla Jorge Paz, süpütchipü'üinkai wapüshi i, süshiyuukai tei.","Este es mi tío Jorge Paz, el palabrero de la familia, y hermano mayor de mi mamá."
Nnojoishi yolujaa in taya,Yo no soy un fantasma.
"Osmeider   Jamayaa Keila, ¿anasü pia?","Hola Keila , ¿estás  bien?"
Nnojotsü outata müin tü nüchonniikalüya'asa,Tampoco sus hijos ya no se morían tan fácilmente
"Antüshi chi palaja chikai, anta mushia wane’eya, anta müshija’a wanee mapa, antapaa mushi’iya na a chiiruaajanakana, jee müshija’a chi naja’ttiamüinja chikai.","Llegó el primero, llegó también otro, llegó otro después, llegaron los siguientes, y también el último."
"a. Jamayaa Piatürii, ¿Kasa paa Ꞌinrakaa?",Hola Beatriz ¿Qué haces?
"Anneera'ala eeka tama'ana, nnojotsü paa'a tama'ana.","Poseo únicamente carnero, no tengo vaca."
Laülaa,Viejo
Eesü wanee outkajawa a wattapia 'amüin shipialu 'u tü aluwata asükaa,Pasado mañana hay una reunión en la casa de la rectora
A’ürülaasü n aa’in wayuu Maiko’u jana a ka cho’ujaain  namuin kara-louta wayuunaikimaa jatü nüshajala Piipa.,"Los wayuu de Maicao se pusieron insistentes, porque a ellos l es hace falta el libro sobre wayuunaiki que escribió Pipo."
"Naa wayuu natajanairua eeshi süpula neitainjatüin tüü e'ikilepülekat, tüü süpulajanakat shianjatü e'itaka sükua'ipa süpula süyatainjatüin. Naa sülaulayuukana tüü ekirajaka sh~kiipu'ujanainjana tüü e'ikülepülekat. Tüü eki_rajaka najapülüinjatü wayuu ekai sütujain süpulerua ayatawakat tüü süpula kajutüinjatüin atuma tüü ekirajakat. Nashi jee nei naa tepichikana eesü süpula nachuntüin sükua'ipa tüü ekirajawa keirekat na'in süpulerua nachonnii sülu'u tüü e'ikülepüle süpulajatka wayuu süpushua nojolüinjatü alainnüin na'in naa tepichikana süchiirua ekirajawaa sünain sükua'ipa onouja. Tüü ekirajawa aapünaka namüin naa wayuukana kajutüinjatü sülu'u, tüü nükua'ipakat jee müsüya ajattiraa tüü matujaneka tüü ekirajaa naa wayuu ekai nojolüin na'inrüin jee müsuya naa wayuu kapülekana akua'ipa sajapülu'usü tüü sülaulayuukana alu'uwatawaa.","Los particulares podrán fundar establecimiento educativos. La ley establecerá las condiciones para su creación y gestión. La comunidad educativa participará en la dirección de las instituciones de educación. La enseñanza estará a cargo de personas de reconocida idoneidad ética y pedagógica. Los padres de familia tendrán derecho de escoger el tipo de educación para sus hijos menores. En los establecimientos del Estado ninguna persona podrá ser obligada a recibir educación religiosa. Los integrantes de los grupos étnicos tendrán derecho a una formación que respete y desarrolle su identidad cultural. La erradicación del analfabetismo y la educación de personas con limitaciones físicas o mentales, o con capacidades excepcionales, son obligaciones especiales del Estado."
achajaataashi,busca supuestamente
"Wattasü pipia, jooꞋ uya shipia luꞋumüin Yazmin, shia  pejet ka.","Tu casa está lejos, vamos a la de Jazmín, está más cerca."
O'oojoo,Bañarse
Laülaa,Viejo
A’lakajaainjana waya asalaa.,Vamos a cocinar carne.
"Mayaashii antüin naya jünain asütaa kaa'ulakai, süsiinakaijasa nia tatuma.","En cuanto ellos lleguen a quitar el chivo, yo lo habré  hecho cecina."
Nnojol eechi  tasakü in chi tatünajutukai,Yo no saludaré a mi amigo.
"Jümai namüin jüshikanainrua a juittüinjana jia watta'a kale'o, süchikejee ekaawa.","Les dicen a sus padres que  mañana van a salir al medio día, después del almuerzo."
apütiraa,hacer dejar
"Ma’aka p o’loole kaa’ulakalüirua, paapeerü tamüin.","Si fueran d iez las cabras, me las darás."
Nnojotsü te ꞌrüin so'uka'i,No lo vi hoy
Eejeerü apünüinsü jula ’airua sümaa ooro.,Habrá  tres tinajas con oro.
AꞋleewain,AꞋleewain
"Eesü esaamen so'uka'i, joo'uya wekirajaai süpüla nnojolüinjaniin amulouliin waya.","Hoy hay examen, vamos a estudiar para no perderlo."
Tapütüin takaralo 'utase tepialu'u eesü süpüla tantireerüin tü taꞌyataainkaa  wattaꞌa.,"Deje el cuaderno en la casa,   será traer  el trabajo mañana."
"Teküin süchon tü wunu’ukot , süka shimeejü in taya tü wüikat","Yo comí el fruto del árbol, porque la serpiente me engañó."
A’ülüjayüi tamüin chisa epe’tshikai.,Aquel borracho me regañó hace rato.
Eesü kaa'ula jee anneerü sulu'u Wajiirü.,Hay chivos y ovejos en La Guajira.
Mojusu türa nümüin Kamiirü .,Eso le disgusta a Camilo.
"Japüishii jaya, süka mulo'uyuushaana in türa japato'ushekalüirua","Ustedes tienen vergüenza, porque tienen las uñas muy largas."
"Tachonwaa, aapa ’atshi pia tamüin yüttaa aa'in.",Hijo mío: sólo disgustos me causas.
Ottüinjatü watta'a tü ei'yatiraakaa wakuwa'ipa yaaya ekirajiapülee.,Mañana inicia el encuentro cultural aquí en la escuela.
Nnojoi shi atunkeein Piipa nümüiwa'aya,Pipo no quiere dormir solo.
"Nnojotsü anain jüpüla pu'wayuusein taya , aka tü nnojol in müin aka taya pia","No conviene que yo sea tu mujer, porque no tú eres como yo."
Nnojoi shi ashakatüin jima'aikai  naa'ujee ne'ejenakai,El joven no se bajó de su cabalgadura.
Nnojolinja chi pia mojuin aa'in tachikiru'u,Tú no vayas a entristecerte durante mi ausencia.
"Ayonnajüshi Kamiirü (taya, nia, pia)","Camilo baila (yo, él , tú)."
Anneerü,ovejo
"Tanaateerü pukuwa'ipa, to'oojireechi pia ja'raitua wanee kasa anasü ma'i.","Yo acomodaré tu vida, te bañaré cinco veces con una cosa muy buena."
"¿Jamüsü peenajia, nnojoluin señaalü?",¿Y cómo hiciste para llamarla si no hay señal?
epiralaa,llenar
Achinashi taya wanee wunu’ u jüka wanee ipa.,Yo golpeo un palo con una piedra.
Jalaina yaamüin yaa tamaa jee toulaajeenü jaya süpüla jaa ’ayulujain.,Vengan acá y los dejaré calentarse con el fuego.
PaaꞋa,PaaꞋa
"Pusurulaatsein taya jia ke'ireeka ta a'in, jee talatakaa amaa taya jia jüka kolompiaje ꞌewai tamünüin. Ma'aka Kasai alatüin pümüin outeechi taya jünain ainmajaa pia.","Ser soldado tuyo es la mayor de mis glorias. Mi ambición  más grande  es la de llev ar con honor el título de colombiano y llegado el caso, morir  por defenderte."
apütü shijach i,para yo dejar
¿Kasa paa Ꞌinraka?,¿Qué haces?
Tasa’watüin chi al ijunakai  wopulu’u.,Alcancé al criollo en el camino.
ShiꞋipoꞋujee lawatorakaa,A la derecha del perro
"Osmeider    Osmeider, chi pa ꞌaleewainkai","Osmeider , tu amigo"
"Jülata jümaa, jüikalaa suupünaa lumakaa, taamajaajeerü juꞌula süpüla jeemerainjanain.","Adelante, siéntense debajo de la enramada, ya les cuelgo un chinchorro para que descansen."
"Mayaashi aja'ttüin wayuukai jünain ekaa, nüsirüin laülaakai wanee wunu'u.","En cuanto terminó de comer, el viejo le dio de beber un remedio."
"Isee juya , jooꞋuya wepialu'um üin","Viene la lluvia , vamonos para la casa"
"Keila          Anasü, ¿jarai pia?","Estoy bien, ¿quién eres tú ?"
Jashichisü Tareesa aka makatüinjatüin pia ya'aya .,Teresa está muy enojada porque tú te vas a quedar aquí.
Nnnojolüitpa shunulin ma’in taya jee aneerü tamüin tü jemiai aipa’ajatükalü.,Yo ya no estoy tan resfriada y el aire fresco de la noche me hará bien.
Eetaasü jüpüya nierüin laülaakai wattalu'u ma'aka tüsa.,Estaba la casa de la mujer del viejo lejos como por allá.
Süka tüü nnerü süwalajaka konpañiaka tüüirua nojotka antüin sülu'umüin sa'atawai mma jee sülu'umüin tüü munisiipiakat akotchijunet süpushua wattamüin eejeree sa'apu'unüin süpüla shiüjünüin kasa washitka alu'u mmaka süma sainmajünliin süpushua kasa sülu'ukat mmaka jee müsüya shiitanüin tüü kasa choujakalü süpüla anain wayaa wapüshua.,"Con los ingresos provenientes de las regalías que no sean asignados a los departamentos y municipios, se creará un Fondo Nacional de Regalías cuyos recursos se destinarán a las entidades territoriales en los términos que señale la ley. Estos fondos se aplicaran a la promoción de la minería, a la preservación del ambiente y a financiar proyectos regionales de inversión definidos como prioritarios en los planes de desarrollo de las respectivas entidades territoriales."
"Aka tütüin ma’in nia jünain olojoo, ale’ejapu’ushi jo’ukai jümaa kasirüü.","Porque él era muy diligente cazando, siempre solía volver con presas."
"Ma’aka jümaale taya jüpü yalu’ umüin,  mojushaaneerü taa’in chamüin chaa ’aya, akaajasa jimaa tama’ arüle yaa’ aiyaa,  anattateerü  ta’'in – müshi  jümüniirua.","Si ustedes me llevan para sus casas, yo por allá me voy a sentir muy triste; pero en cambio si permanezco aquí, me sentiré un poquito mejor"" - les decía a ellas."
Nnojolee chi tasaküin Kami irü,Yo no saludaré a Camilo.
Awataajeena,Correremos
"Ma’aka püküjayaa le jüchiki, outalaa meechi pia jüchiki püküjain jia.","Si te atreves a contarlo, morirás inmediatamente después de que lo cuentes."
Chee'era yaajee.,Dámelo por aquí.
"Wanaa sümaa yaajachin Jesús saa'u tü  mmakat, niiyajüin na ayuuishiikana.","En el tiempo que estuvo Jesús aquí en la tierra, él curó a los enfermos."
sha’wataa,estar parado
Anasü,Bien.
SaꞋaya,Allá
Matüjainsalü apütünaa jintutkolu jutuma tü jiikalü .,La niña nunca es abandonada por su madre.
"Ajaa, tatijaachipa ooꞌu jaralin nia yaa, anashi, atüjüichipa aashejeꞌera  sümaa ashajaa.","Sí, ya sé cuál es, va bien, sabe leer y escribir."
Jimeechi  wata'ülaka.,Será pez lo que  capturaremos.
Nnojotsü chü’lüin Noora sutuma juyakalü.,Nora no está mojada por la lluvia.
"¿Aseesü paa'in wüin, püsee pa eera  waraapa?","¿Quieres tomar agua, o quieres tomar  gaseosa?"
¿Jamüinjachi makalaka pia yaa?,¿Por qué eres así?
Kakaa’ulainshi Kamiirü,Camilo tiene chivos.
Alatirüinja chi pia [apünüin  ai] sulu’u tü mii chi pülashiikalü.,Tú vas a pasar tres noches en el castillo encantado.
"Mapüshisai chira ayuuishikai, wayakalaka a'yataain nümaa.","Ese enfermo no tiene familia, y por eso es que nosotros lo asistimos."
Achinashi taya wanee wunu’ u jüka wanee ipa.,Yo golpeo un palo con una piedra.
apütamuyuu,"solía dejar, dejaba"
Motusu taa’in awalaajaa wanee tojuyaala nuulia Piip a.,Yo me olvidé de pagar una deuda que tengo con Pipo.
"Aa, ¿je'ra püchekaka?","Sí, ¿cuánto quieres?"
Nnojotsü aku ’lajaain waa’in sü maa atijaa wayuunaiki.,No tenemos pereza para aprender wayuunaiki.
shankataa,cojear
Palajana,Primero
achajaata müshi,busca a cada rato
¿Jarai paapirüinjachi ka yaa?,¿A quién vas a avisar?
"Müleka nnojoru le kaawain pünüiki nutuma Ma’leiw a, nnojoishi je pia laülaain toulia.","Ninguna autoridad tendrías contra mí, si no te fuese dada por Dios."
"Tounaj akaa jia süpüla taapajatüin j ümüin nawoletinkana na juchoinkana, otta taküjuintüin jümüin, jamüin naya sü nain tü ekirajawakaa.",Los mand é a llamar para entregar les los boletines y decirles cómo van sus hijos.
¿Jou ja wo’una ka Maiko’umüin?,¿Cuándo nos vamos a Maicao?
"Süchikejee Majayü tpana, Jama piakai ¿Jalejeeshi pia?",Después de Majayutpana Y tú ¿de dónde vienes?
"Jüwa'üla a winnamüin, suchikejee laaka a ajunteena uuchumüin","Caminan hacia el este, al pasar el arroyo cruzan hacia el sur"
¿Jalashi wayuukai yaa?,¿Dónde está el hombre?
Alataasü wü chiichonkalü soo’omüin wanee wunu’uya ’asa.,Le contó a ella lo que le había sucedido donde el otro viejo.
"Ma'aka pülü'üjale nneerü, tachajaajeerü pümüin miichi.","Si llevas dinero, yo te buscaré casa."
Antawaishii julu ’u piamawalin naya .,Ellos llegaron de dos en dos.
Masüinsalü Noora saruweesa.,Nora no bebe cerveza.
"Anteechi pia yaamüin yaa jünain atekajaa, o’una kaijasa taya toumainpa’amüin","Tú vendrás acá a cobrar la deuda, pero yo me habré ido a mi tierra."
Ayonnajüshi taya jaa'u tü meesakalü .,Yo bailé sobre la mesa.
Anamuyuu taya ta ’yataaiwa.,Yo estaba bien cuando trabajaba.
O’uneerü teikalü eemüin tatuushi watta chon maalü.,Mi madre irá donde el abuelo  de mañanita.
iraa,ser insípido
Wayeena ojoita ka putuushi.,Seremos nosotros los que enterr aremos a tu abuelo.
"Waneesüyainjatü piitain, pünaajaa injatü jümüiwa’aya.","Será una sola tu totuma, y la guardarás aparte."
"Püma sümüin ekirajütka Yusmary, isaa Daniel nüina 'alüin süka ipa ko'oikaa.","Dile a la seño Yusmary, que Daniel le está tirando piedras al enjambre de las avispas."
Atijaainapa waya aainjaa tü keesükaa.,Ya sabemos hacer el queso.
¿Jamüsü sünüiki chaamaakaa namüin tepichikana nale ’ejapa?,¿Qué les dijo la bruja a los niños cuando ellos regresaron?
Palajatükalü Atüjünüin,Lo primero que se aprende
¿Jamüsh ii tepichikana ? – Ayuuishii Ø tepialu’u.,¿Cómo están l os niños ahora? – Están enfermos en casa.
"Nnojoleerü a’yataain Tareesa tamüin, alu’usa taapüle sümüin nneerü.","Teresa no trabajará para mí, si no le doy dinero."
Nünaajaainjatü Kamiirü tü nneetkalü sulu’u wanee susu.,Camilo va a guardar el dinero en una mochila.
"Ja'itaichi asakinnü in pia, nnojoluinjatü kasain püküjain achiki.","Aunque te pregunten, no vayas a contar nada."
Wüi taikalaa ka aa’u.,Fue sobre culebra que me senté.
Süpüla antaa sülu'umüin Senaaloka acheküshi kolonpianain naya otta apünüinjatüin shikii no'uyase.,"Para ser elegido senador se requiere ser colombiano de nacimiento, ciudadano en ejercicio y tener más de treinta años de edad en la fecha de la elección."
Kettaajüsü [wanee kapüleetairua müle'uyuushaana aainjuushi jüka  sipata ].,Estaban listas unas sogas grandísimas elaboradas con hilo.
Jikerola maala suluꞋu jüsalonse.,Entren a sus salones.
¿Jam ajatü pümüin?,¿Para qué lo necesitas?
O’unushi wayuukai jünain asaajaa amakai.,El hombre se fue a buscar el caballo.
"Tanaateerü pukuwa ’ipa, to ’oojiree rü pia ja’raitua  wanee kasa anasü ma ’in.","Yo acomodaré tu vida, te bañaré cinco veces con una cosa muy buena."
¿Kasa naa'inraka tepichikan a?,¿Qué hacen los niños?
¿Kaso’uleerü waya’lajü in miichikalü?,¿Cuándo compraremos la casa?
Jaliwalaka'a warai majayaa pia sa eepünaa  tüsa ta'wayuusekalüje'e .,Cuidado con que vayas a andar caminando por allá por donde está mi mujer.
Ayonnajüinapa,Acabamos de bailar
Shiyaawase te'iruku tü peetkaa,La “perdiz” representa mi clan
"Nnojolu tayaawatüin oo'u tü nümakaa, akaisa’a ako'ulaain taya","No comprendí sus palabras, pero me callé."
¿Puunejüitpa shia süpüla sütüjaain saa'u wopulu'uin waya?,¿La llamaste para decirle que vamos en camino?
Eeshi Luuka nipialu’u sümaa nu’wayuuse.,Lucas está en su casa con su mujer.
¿Eesü wuin jemetüsü sulu 'u tü mmak aa?,¿La comunidad cuenta con agua potable?
"Tüü sülaulaka wanee mma najapülü'usü naa kaumainshikana ejere jüparalain natchuin naa sülaulayukana aluwatawaa, nayaa wayuukana sulaülainjanakana tüü aluwatawaa o'ulaka eesü süpula ne'itain naa nekipü'ujanaka sünain tüü ayatawaka sülu'u sükua'ipa tüü Konstitusionka.","La soberanía reside exclusivamente en el pueblo, del cual emana el poder público. El pueblo la ejerce en forma directa o por medio de sus representantes, en los términos que la Constitución establece."
