esp,ing
vencer,binsii
vencerse,binsirii
arete,birindinga
cantar,birsiai
comida especial,buda
festejar,budachii
bodoquera,budukira
voltear,builtiachii
voltearse,builtiarii
planta paragüilla,bukuia
papa natural,bulkan papa
árbol yarumo,buma maki
pequeño animal,bunginsi kallu
encia,bungua
ilichu,bungua ilichu
lago movedizo,bungua kucha
junco,bunju
gorgojo,burbuju
desgranado,bushmi
niño barrigón,butijun
bejuco,butjuia
abotonar,butunai
cacho,bututu
segunda desyerba,chabsii
sacudirse,chabsirii
chacla,chaglla
colocar baras,chagllai
sementera,chagra
¡Que frío!,Chai
visitador,chaiag
llegar acá,chaiamui
allá (lejos),chaipi
todavía,chaira
puente,chaka
hacerse prescindir,chakachirii
pie,chaki
secar,chakii
¡Que bonito!,Chalai
pescar,chalwai
zanja,chamba
hacer zanjas,chambai
casa abandonada,chanchala wasi
cabalgar,changalai
cabalgar,changalarii
chismoso,chankual
vigilante,chapa
potrero,chaparu
mezcla,chapu
mezclado,chapuchiska
mezclar,chapui
cigarra,chapuli
mezclarse,chapurii
mezclado,chapuriska
todavía,chara
tener,charii
estar agarrado,chariraiai
tomar,charirii
así,chasa
lo mismo,chasalla
así mismo,chasallata
para eso,chasapaka
recibir,chaskii
recibirse,chaskirii
mitad,chaugpi
dividir,chaugpii
dividirse,chaugpirii
medio día,chaugpuncha
recibir,chasii
crudo,chawa
fique,chawar
orinar,chichii
orinarse,chichirii
preñada,chichu
preñar,chichuiachii
estar preñada,chichuiai
rajado,chigta
rajar,chigtai
partirse,chigtaiai
rajarse,chigtarii
rajado,chigtaska
¡Tenga!,Chiká
papayuela,chilakuan
chismear,chiltiai
¡Basta!,Chilla
desde allí,chimanda
pasar,chimbai
murciélago,chimbilaku
chi,chin
zumbar,chinchimirii
perder,chingachii
perder,chingai
perderse,chingarii
perdido,chingaska
tuerto,chingual
ortiga,chini
oruga,chini kuku
ortigar,chinii
ortigarse,chinirii
árbol silvestre,chipa
allí,chipi
silbar,chiplai
con silbidos,chipluwa
todavía,chira
crespo,chirapa
frío,chiri
frío lento,chiri wangu
enfriar,chiriachii
enfriarse,chiriai
enfriarse,chiriarii
hacer frío,chirichii
la tarde,chisi
detener,chisiachii
atardecer,chisiai
¡Buenas tardes!,chisiapuangi
bien tarde,chisima
canilla,chiuka
esa hora,chiura
tordo,chiwaku
fruta silvestre,chiwilla
tuerto,chubiku
raposa,chucha
flojo,chuchingu
teta,chuchu
mamar,chuchui
choclo,chuchuka
chupar,chuchurii
fiebre,chugchui
temblor,chugchurii
tiritar,chugchurii
choclo,chugllu
choclo desgranado,chugllu bushmi
primeros dientes,chugllu kiru
granos,chugllu muiu
choclo frito,chugllu pritai
hacerse choclo,chuglluiai
dislocado,chugridu
¡Que quemando!,Chui
disolver,chuiaiachii
disolverse,chuiaiai
atascar,chukachii
asfixiante,chukari
atorarse,chukarii
comadreja,chukuri
planta medicinal,chulku
único,chulla
faja tejida,chumbi
fajar,chumbillichii
fajarse,chumbillirii
pavo,chumbu
destripar,chunchullai
tripas,chunchullu
planta medicinal,chundur
diez,chunga
vagarse,chungarii
único,chunlla
chonta,chunta
cazar chuntaruku,chuntarukiai
venadillo,chuntaruku
chuntaduro,chuntaduru
cola,chupa
tumor,chupu
calzar,churachii
poner,churai
estar puesto,churaraiai
ropa,churaridiru
vestirse,churarii
caracol,churu
vacío,chusa
vaciar,chusaiachii
volverse vacío,chusaiai
cuatro,chusku
cuarenta,chusku chunga
cuatrocientos,chusku patsa
insecto,chuspi
estirado,chuta
sombrero,chuta
extender,chutachii
estar estirado,chutaraiai
estirarse,chutarii
sacha wagra,danta
brujear,dañui
asii,diasii
en vano,dibaldi
endeudado,dibi
prestar trabajo,dibichii
endeudarse,dibirii
dedo,didu
de ganas,diganas
iarkai,diiarkai
completamente,diltudu
con pena,dillakii
rara vez,dipanda
débil,dipurdundi
enderezar,dirichai
enderezarse,diricharii
derrumbado,dirumbaska
derrumbe,dirumbu
descontar,diskuintai
desmontado,dismuntaska
despedirse,dispidirii
desocuparse,disukuparii
de repente,diulpi
ruñii,druñii
panela,dusi
colada dulce,dusi api
faltar,faltai
filoso,filu
afilar,filuiachii
afilarse,filuiai
lanzar flechas,flichai
hacer esfuerzos,fuirsarii
cincuenta centavos,fuirti
fuerte,fuirti
formarse,furmarii
glotón,galgu
ganar,ganai
garañón,garañu
garganta,gargiru
moscardón,gatsu
empeorarse,grabarii
médico tradicional,iacha
de enseñanza,iachachidiru
profesor,iachachig
enseñar,iachachii
saber,iachai
de estudio,iachaikudiru
cuaderno,iachaikudiru panga
escuela,iachaikudiru wasi
aprender,iachaikui
estar acostumbrado,iacharaiai
íntimo,iacharidu
acostumbrarse,iacharii
enseñado,iachariska
sentir,iachii
sentir,iachirii
cacique,iaia
entrar,iaikui
agua,iaku
nutria,iaku alku
creciente,iaku jundai
laguna,iaku kucha
pato silvestre,iaku patu
derretir,iakuiachii
derretirse,iakuiai
derretirse,iakuiarii
sed,iakunaiai
pasados,iali
trasladar,ialichii
disentería,ialichii ungui
pasar,ialichimui
pasado,ialigta
pasar,ialii
disentería,ialii
pasarse,ialirii
pasados,ialli
leña,iamta
atado,iamta wangu
conseguir leña,iamtai
media oscura,iamtuta
negro,iana
abeja negra,iana abijun
conga,iana añangu
bejuco,iana bichu
chilku,iana chilku
pepa negra,iana muiu
sara,iana sara
hígado,iana sungu
noche oscura,iana tuta
ennegrecido,ianaiachiska
ennegrecerse,ianaiai
Ayúdeme,Ianapawai
sin provecho,ianga
papa inútil,ianga papa
imagen ilusión,ianga runa
cocinar,ianui
cocinarse,ianurii
cocido,ianuska
mucho,iapa
aumentar,iapachii
agregar,iapai
aumentarse,iaparii
hambre,iarkai
sangre,iawar
gotear sangre,iawar sutuchii
regar,ichachii
derramar,ichai
regarse,icharii
zarazo,ichu
medio madurarse,ichuiai
arbolito cidrón,idrun
planta higuerón,igrun
de nuevo,ikuti
helecho,ilichu
ensartar,ilpui
caer hielo,ilui
despiojarse,ilusarii
estar ausente,illai
ausentarse,illarii
¿Qué?,ima
cualquier cosa,imapas
para qué,imapatak
cómo,imasatak
qué,imatak
cualquier tiempo,imaurapas
cuándo,imauratak
con que,imawa
con qué,imawantak
al final,impas
hacer ampollas,impullai
sol,indi
occidente,indi chingaridiru(nigmanda)
oriente,indi llugsikuska(nigmanda)
ambi waska,indi waska
hacer verano,indii
soleado,indiri
idioma inga,inga
árbol encino,insiñu
indi tigraska,intigraska
entender,intindii
triste,irki
pálido,irki ñawi
empalidecerse,irkiai
pálido,irkiaska
hierro,iru
dos,iskai
dos meses,iskai killa
veinte,iskai chunga
doscientos,iskai patsa
a dos,iskaima
entrambos,iskandi
escribir,iskribii
desgranar,iskui
estudiar,iskuila risai
nueve,iskun
noventa,iskun chunga
novecientos,iskun patsa
desgranarse,iskurii
excremento,isma
cucarrón,isma muru
defecar,ismai
defecar,ismanaiai
defecarse,ismarii
podrirse,ismui
pudrirse,ismurii
podrido,ismuska
orina,ispa
orinar,ispachii
orinar,ispai
orinar,ispanaiai
orinarse,isparii
estudiar,istudiai
con sentido,iuiachi
recordar,iuiachii
reflexionar,iuiachirii
orientar,iuiachispa iachachii
pensamiento,iuiai
recordar,iuiarii
col,iuiu
regalar,iukachii
regalarse,iukachirii
rico,iukag
tener,iukai
ricachón,iukaiug
rico,iukari
acostumbrarse,iukarii
unirse sexualmente,iumai
blanco,iura
blanquear,iuraiachii
blanquearse,iuraiai
muñeca,jabaka
deshojar,jabakai
estornudar,jachichii
estornudar,jachii
estornudar,jachirii
deshojar,jibikai
medio maduro,jichu
medio madurarse,jichuiai
bolsa,jigra
mosquito diminuto,jijin
hilar,jilai
jeme,jimi
pantorrilla,jinsa
gente,jinti
chundur,jinti chundur
hipo,jipui
feo,jiru
día feo,jiru puncha
mal olor,jiru asna
brujo,jiru iacha
indispuesto,jiru iachi
robar,juai
traer augurio,juajuachii
hacerse augurio,juajuai
augurar,juajuarii
brazo superior,juakimi
kuatisha,juatisha
calumniar,juchachii
calumniarse,juchachirii
maduro,juchu
hacer montones,juibutuchii
amontonar,juibutui
conejo,juiniku
correctamente,juisiu
hacer caso,juisiui
lanzar polvo,juituchii
hacer rallar,jujuchii
bejuco,jujui
frotarse,jujurii
mojado,juku
mojar,jukuchii
mojarse,jukui
mojado,jukuska
ennegrecido,julin
ennegrecer,juliniachii
ennegrecerse,juliniai
ennegrecido,juliniaska
sudor,jumbi
sudoroso,jumbi jumbi
sudar,jumbii
lleno,junda
en abundancia,junda junda
llenar,jundachii
llenarse,jundachirii
llenar,jundai
llenarse,jundarii
lleno,jundaska
hondo,jundu
jurar,jurai
germinar,juraiai
juez,justisia
juzgar,justisiai
agujero,jutku
agujerear,jutkuchii
cavar,jutkui
perforarse,jutkurii
enviar,kachai
soltar,kacharii
sal,kachi
todo lastimado,kachi salas
ensalar,kachiachii
cara,kachitis
tacaño,kachitis
cuerno,kachu
este,kai
estar,kai
mañana,kaia
llamar,kaiai
brindar,kaiajuachii
Hasta mañana,Kaiakama
cerca de,kailla
solamente éste,kailla
acercarse,kaillaiai
solamente aquí,kaillapi
ayer,kaina
aquí,kaipi
hoy,kaiura
excremento,kaka
defecar,kakai
hacerse acomodar,kakuchirii
comadrona,kakug
frotar,kakui
frotarse,kakurii
aprisa,kalpa
al trote,kalpa kalpa
correr,kalpai
liso,kalpari
rodar,kalparii
carnaval,kalusturinda
hongo,kallamba
tiesto,kallana
comenzar,kallarii
plaza,kalli
lengua,kallu
tú,kam
hacer abarcar,kamachii
obsequio,kamariku
su,kamba
trueque,kambalachi
trocar,kambalachii
trocar,kambiai
cambiarse,kambiarii
tostado,kamcha
tostar,kamchai
tostarse,kamcharii
insultar,kamii
estar acostado,kamiraiai
renegar,kamirii
patio,kancha
gallina,kancha pisku
tostar,kanchai
afuera,kanchapi
tostarse,kancharii
siete,kanchis
setenta,kanchis chunga
setecientos,kanchis patsa
cangrejo,kangariju
morder,kanii
ladrar,kaninaiai
morderse,kanirii
cantar,kantai
labrar,kantiai
capar,kapai
gritar,kaparii
maíz capia,kapia sara
apretar,kapii
machucarse,kapirii
machucado,kapiska
encapricharse,kapricharii
corteza,kara
¡Caramba!,Karachu
dar,karai
darse,kararii
antojado,karchu
hacer cargo,karguchii
hombre,kari
banco redondo,kari banku
cinta delgada,kari chumbi
chundur,kari chundur
sibta,kari sibta
lejos,karu
automóvil,karu
distanciado,karu karu
sachuku,karu sachuku
muy lejos,karulla
carnaval,karustulinda
así,kasa
hacia acá,kasama
casamiento,kasarai
quieto,kasilla
quedarse quieto,kasillaiai
tranquilizarse,kasillarii
lo mismo,kaskalla
planta selvática,kaskarilla
palo,kaspi
achira,kaspi achira
tronco hondo,kaspi puru
clase,kasta
comer,kastui
comer,kasturii
cobijar,katachii
cobijarse,katai
cobija,katanga
estar cobijado,kataraiai
detrás,kati
atrasarse,katiai
seguir,katichii
seguir,katii
hacia atrás,katima
el último,katimanda
seguir,katiraiai
unirse,katirii
moscardón,katsu
vender,katui
vendible,katuri
venderse,katurii
torcer,kaugchui
retorcido,kaugchuri
torcerse,kaugchurii
torcido,kaugchuska
torcer,kaugpui
torcerse,kaugpurii
torcido,kaugpuska
vivo,kaugsa
revivir,kaugsachii
vida,kaugsai
revivirse,kaugsarii
índice,kawachidiru
mostrar,kawachii
ver,kawai
¡Vea!,kawamui
vista panorámica,kawari
aparecer,kawarii
visto,kawaska
cama,kawitu
acomodar,kawituchii
estar acomodado,kawituraiai
acomodarse,kawiturii
hacer vomitar,kibnachii
vomitar,kibnai
arrojar sangre,iawar kibnai
marearse,kibnanaiai
vomitarse,kibnarii
diarrea,kicha
tener diarrea,kichai
diarrea continua,kichala
angosto,kichki
angosto,kichkiri
defenderse,kichuchirii
quitar,kichui
zafarse,kichuririi
detener,kidachii
quedar,kidai
quedarse,kidarii
oxidado,kiiaiaska
mosquito diminuto,kijin
tierno,kikilla
propio,kikin
escribir,kilkai
hacer cubrir,kilpachii
tapar,kilpai
cubrirse,kilparii
luna,killa
pereza,killai
muy perezoso,killaiug
amarillo,killu
hacer amarillar,killuiachii
volverse anémico,killuiai
amarillarse,killuiarii
maduro,killuiaska
arrimar,kimichii
arrimar,kimii
arrimarse,kimirii
hacer vomitar,kimnachii
vomitar,kimnai
vomitarse,kimnarii
tres,kimsa
cerco,kincha
cercar,kinchai
protegerse,kincharii
guardar,kinchullii
colibrí,kindi
olla pequeña,kindi manga
medio fracturar,kindiai
medio fracturado,kindiaska
atravesado,kingrai
concavidad,kingu
zig-zag,kingu kingu
atravesado,kinrai
inclinar,kinraiai
desplomado,kinraiaska
luego,kipa
atrasarse,kipaiai
de atrás,kipamanda
desde antes,kipamandata
sobrecarga,kipi
sobrecargarse,kipirii
recargado,kipiska
mosco grande,kirisa
muela,kiru
defender,kispichii
hacerse defender,kispichirii
escapar,kispii
protegerse,kispirii
forma triangular,kitara
faja triangular,kitara chumbi
hierba 'nudillo',kiwa
dislocado,kiwidu
torcer,kiwii
dislocarse,kiwirii
dislocado,kiwiriska
convincente,krichig
convencer,krichii
entregar,kuai
entregarse,kuarii
cuatro centavos,kuartillu
taza,kuashag
planta 'chirilla',kuatinsa muiu
tangán,kuatisha
charco,kucha
hacer charco,kuchaiachii
puerco,kuchi
lengua Kamtsa,kuchi rimai
machete,kuchillu
orilla,kuchu
alrededor,kuchu kuchu
hacerse cortar,kuchuchirii
filuda,kuchug
cortar,kuchui
cortarse,kuchurii
hierba filuda,kuchuringa
cortado,kuchuska
cogote,kuguti
curí,kui
muy tímido,kui sungu
acariciar,kuiai
hierba pequeña,kuiangilla
amarse,kuiarii
adulado,kuiaska
pájaro,kuibibi
arco iris,kuichi
planta,kuichi panga
llovizna,kuichi tamia
cuidarse,kuidarii
moquillo,kuilalun
arbolito,kuilla
como,kuinta
chirilla,kuitinsa muiu
curisito,kuitum
sacudir,kuiuchii
movimiento,kuiui
menearse,kuiurii
menearse,kuiuririi
árbol blanco,kujakillu
fiambre,kukawi
pepa fragante,kukindus
diablo,kuku
patilla,kuku agcha
serpiente enorme,kuku amarun
abceso,kuku chundur
potro,kuku ilichu
restos,kuku puchu
mal viento,kuku waira
enmascarado,kukuruchu
dormir,kulai
dormirse,kularii
dinero,kulki
acompañar,kumpañai
casarse,kumpañarii
humillar,kumuchii
inclinarse,kumuririi
yota (tubérculo),kuna
rodilla,kungur
arrodillar(se),kungurii
oro,kuri
completamente,lim
frasquito,limita
limpiar,limpiai
lienzo,linsu
pálido,linsu ñawi
templado,lipia
bien peinado,lipia lipia
templarse,lipiai
templarse,lipiaiai
lesionar,lisiachii
fracturarse,lisiachirii
fracturado,lisiachiska
lesionarse,lisiarii
¡Con permiso!,Lisinsia
permitir,lisinsiai
permitirse,lisinsiarii
hacer espacio,luariai
desocupar,lugariachii
desocuparse,lugariai
locro,lugru
sirviente,lutrin
destrozarse,llachapaiai
región,llagta
angustiar,llakichii
tristeza,llakii
con pena,dillakii
lamer,llakuai
lamerse,llakuarii
pasados,llalli
trasladar,llallichii
liso,llambu
acariciar,llambuchii
alisar,llambuiachii
volverse liso,llambuiai
peinarse,llamburii
tocar,llamkai
tocarse,llamkarii
pesado,llasa
pesar,llasai
volverse pesado,llasarii
desnudo,llatan
desnudar,llatanai
desnudarse,llatanarii
pegajoso,llaugsa
volverse pegajoso,llaugsaiai
corona,llaugtu
poner corona,llaugtuchii
ponerse corona,llaugturii
roto,lliki
romper,llikichii
romper,llikii
romperse,llikirii
resbaladizo,lluchka
volverse rebaladizo,lluchkaiai
resbalarse,lluchkarii
sacar,llugsichii
salir,llugsii
salir,llugsirii
gatear,llukai
gatear,llukarii
izquierdo,lluki
mano izquierda,lluki maki
mentiroso,llulla
muy mentiroso,llulla siki
engañar,llullachii
mentira,llullai
inventar,llullarii
tierno,llullu
recién nacido,llullu wawa
volverse tierno,llulluiai
embarrado,llunchi
aplicar barro,llunchii
embarrarse,llunchirii
embarrado,llunchiska
desgajar,lluspichii
quitarse,lluspichirii
desgajado,lluspichiska
resbalarse,lluspii
resbalarse,lluspirii
unir,llutachii
juntar,llutai
juntarse,llutarii
emborrachar,machachii
borracho,machag
emborracharse,machai
borracho,machangichu
borracho,machaska
varios,machka
cualquier,maikan
lavar,maillachii
lavar,maillai
lavarse,maillarii
lavado,maillaska
a donde,maima
adónde,maimatak
donde,maipi
dondequiera,maipipas
dónde,maipitak
por ahí,maita
por dónde,maitatak
envolver,maituchii
envolver,maitui
cuanto,maituku
envolverse,maiturii
envuelto,maituska
golpear,makai
arma antigua,makana
pelea,makanakui
mano,maki
casarse,maki kapinakui
manco,maki kuru
cinta,maki watanga
fruta redonda,maku
inmoral,mal juisiu
desacreditar,mal juisiuiachii
adivinar,malisiai
rama,malki
desgajar,malkichii
desgajado,malkichiska
desgajarse,malkirii
medio desarrollado,maltu
madre,mama
pulgar,mama didu
muela superior,mama kiru
madrastra,mama ninga
esposa,mama ñaña
abuela,mama siñura
no,mana
chismoso,mana awantadu
desagradable,mana chaia
sin embargo,mana kagpipas
liviano,mana llasa
insípido,mana miski
sin vergüenza,mana pinga
no madurado,mana pukuska
de pronto,mana sintiglla
sordo,mana uiag
pronto,mana unailla
chicha simple,manancha aswa
todavía no,manara
miedoso,mancha siki
espantajo,manchachig
espantar,manchachii
espanto,manchai
con miedo,dimanchai
temerosa,manchaiug
tener miedo,manchakui
tener miedo,manchanakui
espantajo,manchangasina
espantarse,mancharii
derribar,mandachii
tenderse,mandachirii
tender,mandai
tenderse,mandarii
achiote,mandur
olla,manga
hierba común,manga paki
comino,mangas
no,manima
nada,manima
madera rolliza,manta kiru
prestar,mañachii
pedir,mañai
palabra,mañaji
sucio,mapa
comadreja,mapa ñawi
ensuciar,mapaiachii
ensuciarse,mapaiai
ensuciarse,mapaiarii
llevar,markai
estar cargado,markaraiai
cargar,markarii
cargado,markariska
llevado,markaska
cuanto(s),masa
amasar,masachii
cuánto(s),masatak
preparar masatu,masatui
buscar,maskai
buscarse,maskarii
aunque,maski
mate,mati
armadillo,matiwaja
ruana usada,mauka kapisaiu
usar,maukaiachii
usado,maukaiaska
miserable,micha
lunar,micha muiu
defender,michai
defenderse de,micharii
gato,michi
erizo,michichin
falda,miglla
poner,migllachii
recibir,migllai
tomar,migllarii
comida,mikui
comer,mikui
sabor,mikuri
saborear,mikurii
lana,milma
salir lana,milmaiai
lanudo,milmunchu
repugnar,millachii
repugnante,millai
sentir indisposición,millai
brujo,millaipa iacha
repugnante,millanga
sentir nauseas,millarii
pájaro,mindiliku
brindar,mingachii
trabajo comunitario,mingai
encargarse,mingarii
tacaño,minguadu
necesitado,ministidu
recolectar,mirachii
aumentar,mirai
rejuntarse,mirarii
gato,misitu
gatico,misitutum
dulce,miski
volverse agradable,miskiai
aparecer agradable,miskii
sentir placer,miskirii
enredar,miskuinaiachii
sahumar,mishachii
hacerse sahumar,mishachirii
inhalar,mishai
inhalar,misharii
gato,mishingu
gato,mishi
astuto,mishu
hacer huir,mitikuchii
huir,mitikui
beso,muchai
besarse,mucharii
cortico,muchilingu
pantalonsito,muchingu
pepa,muiu
rodear,muiuchii
salir granos,muiuiai
criar moho,mujusiai
criado moho,mujusiaska
árbol moquillo,mukillu
masa,muku
mascar,mukui
amasen,mukuiai
mascado,mukuska
apolillado,pulilla mukuska
molleja,mulija
retorcido,mullu
enredado,mulluiaska
atractivo,munachi
querer,munai
querido,munaska
amontonar,muntunai
lombriz gruesa,murkilla
amortajar,murtajai
redondo,muru
muy duro,muruchu
corajudo,muruchu sungu
endurecerse,muruchuiai
tejer flecos,murui
redondearse,muruiai
sueño,muskui
una visión,muskui ukupisina
pesadilla,muspai
nuevo,musu
primera vez,musuglla
renovar,musuiachii
¡Pobre niñito!,Mushilajim
papa natural,mushuna
maíz cocido,muti
mezclado,nabjuchiska
doloroso,nana
causar dolor,nanachii
dolor,nanachiri
tener dolor,nanachirii
dolor,nanai
lulo,naranjilla
brotar,nasirii
ni,ni
entonces,nigpi
decir,nii
necesitado,nimistidu
candela,nina
poner candela,nina churai
carbón encendido,nina kilimsa
luciérnaga,nina kuru
incendiar,nina rupachii
llama,nina sindi
hacerse braza,ninaiai
significar,niraiai
decirse,nirii
después,nispa
yo,nuka
nosotros,nukanchi
ahora,ña
peine,ñagcha
peinar,ñagchai
peinarse,ñagcharii
casi,ñalla
camino,ñambi
abrir camino,ñambichii
hermana,ñaña
hermanastra,ñaña ninga
delgado,ñañu
adelgazar,ñañuiachii
volverse delgado,ñañuiai
esbelto,ñañusu
ojo,ñawi
engañar,ñawi amsaiachii
enceguecerse,ñawi amsaiai
hierba medicinal,ñawi bina
enmascarado,ñawi kilpaska
pestaña,ñawi milma
bizco,ñawi wistu
ni,ñi
incrustar,ñitichii
hacer meter,ñitichirii
meter,ñitii
meterse,ñitirii
incrustado,ñitiska
nieto,ñitu
nudo,ñudu
antes,ñug
adelante,ñugpa
ir adelante,ñugpai
anteriormente,ñugpata
diminuto,ñutu
desmenuzar,ñutuchii
volverse harina,ñutui
triturar,ñutuiachii
triturado,ñutuiachiska
desmenuzarse,ñutuiai
desmenuzarse,ñuturii
manta,pacha
invertir,pagchai
agacharse,pagcharii
boca abajo,pagchaska
lleno,pagta
alcanzar,pagtai
estirarse,pagtarii
¡Gracias!,Pai
agradecer,Pai nii
cubrir,pakachii
esconder,pakai
esconderse,pakakui
protegerse,pakakurii
a ocultas,pakalla
esconder,pakallaiachii
esconderse,pakallaiai
hasta amanecer,pakarigta
amanecer,pakarii
¡Hasta mañana!,Pakarinkama
¿Cómo amaneció?,Pakaripuangi
(MP),paki
triturado,pakichiska
quebrar,pakii
quebrarse,pakirii
frágil,pakiringalla
quebrado,pakiska
pala,pala
cosecha,pallai
cosechar,pallai
plan,pamba
enterrar,pambai
aplanar,pambaiachii
volverse plano,pambaiai
estar enterrado,pambaraiai
enterrarse,pambarii
familia,pamilia
abnormalmente pequeño,panagta
por equivocación,panda
equivocadamente,panda panda
equivocar,pandai
equivocarse,pandarii
hoja,panga
reverdecer,pangaiachii
reverdecerse,pangaiai
hermana,pani
hermanastra,pani ninga
papas,papa
páramo,paramu
pájaro azulejo,paramu pisku
shishaja,paramu shishaja
juntos,pariju
dos veces,paris
bien presentado,parisidu
segunda vez,parisma
cuento,parlu
cien,pasag
ciempiés,pasag chakiiug
demasiado,pasagta
sufrimiento,pasai
suceder,pasarii
¡Perdone!,Pasinsia
perdonar,pasinsiai
calmarse,pasinsiarii
abierto,paska
estar abierto,paskaraiai
doblar,patarii
maíz pelado,pataskaska
quien,pi
unirse,piarii
pegarse,piaririi
limpiarse,picharii
enrojecer,pichiachii
cinco,pichka
cincuenta,pichka chunga
quinientos,pichka patsa
unirse,pigarii
pegarse,pigaririi
peón,pigun
cortar,pikai
pulga,piki
tucán,pikudu
pelea,piliai
piojo blanco,pilis
filu,pilu
vergonzoso,pinga
sin vergüenza,mana pinga
vergonzoso,pinga siki
avergonzar,pingachii
vergüenza,pingai
avergonzar,pingaichii
sonriente,pingari
avergonzarse,pingarii
pararse,pininai
planta tóxica,pinllu
maíz pintado,pintadu sara
muy,pinu
muy picante,pinu aia
brujo sabio,pinu iacha
arbolito,pinutilla
enojarse mutuamente,piñachirii
regañar,piñai
enojarse,piñarii
reprender,piñaspa iuiachii
mentiroso,pipanu
cualquiera,pipas
nadie,ñi pipas
perdonar,pirdunai
perdonarse,pirdunarii
arete,pirindinga
falta,pisi
mermar,pisiachii
mermar,pisiai
de lejos,pisiglla
faltar,pisii
mermarse,pisirii
ave,pisku
hematoma,pisku chupu
quién,pitak
pedazo,piti
a pedazos,piti piti
despedazar,pitichii
despedazarse,pitichirii
arrancar,pitii
arrancarse,pitirii
peón,piun
aplanchar,planchai
dar planazos,planiai
flecha,plicha
aflojarse,plujiarii
¿Está bien?,Puangi
pobre,pubriai
hilar,puchkai
huso,puchkanga
hilado,puchkaska
agrio,puchku
volverse agrio,puchkui
mutilado,puchu
perro mutilado,puchu alku
restos,puchu
sobrado,puchui
sobrar,puchui
terminación,puchukai
terminar,puchukai
acabarse,puchukarii
sobrado,puchuska
juguetón,puglla siki
jugar,pugllai
pobre,pugri
empobrecer,pugriai
pueblo,puiblu
nube,puiu
nublarse,puiu jundai
salir nubes,puiuiai
evaporarse,puiuiarii
jadear,pujai
rojo,puka
planta medicinal,puka chilku
planta medicinal,puka ilichu
maíz rojo,puka sara
planta medicinal,puka sigsi
enrojecer,pukaiachii
enrojecerse,pukaiai
madurar,pukuchii
madurar,pukui
junco,pukuna
bambú,pukunga
madurarse,pukurii
maduro,pukuska
planta 'sindayo',pululu sacha
león americano,puma
árbol 'yarumo',puma maki
día,puncha
aguardiente,puncha iaku
aclarar,punchaiai
claro,punchalla
hinchado,pungi
inflar,pungichii
hincharse,pungii
hincharse,pungirii
hinchado,pungiska
puerta,pungu
ponsoña,punsuñu
puño,puñiti
dar puñetazos,puñitiai
dormilón,puñu siki
cama,puñudiru
sueño,puñui
tener sueño,puñunaiai
dormirse,puñurii
ombligo,pupu
andar,purii
pasearse,puririi
trompa,puru singa
curuba,purupuru
fríjol 'poroto',purutu
hospedarse,pusadarii
ocho,pusag
guía,pusag
ochenta,pusag chunga
ochocientos,pusag patsa
conducir,pusai
hueco,pusu
canasta,puti
rabiar,rabiai
bravo,rabiari
enojarse,rabiarii
enojado,rabiariska
vagina,raka
grueso,raku
engrosar,rakuiachii
engrosarse,rakuiai
aporte,rama
aporte,ramai
colaborar mutuamente,ramarii
la otra,randi
desquitarse,randichii
comprar,randii
tirón,rapiai
chistoso,rasia
racionar,rasiunai
repartirse,rasiunarii
arar,rastrujiai
ardiencia,raura
arder,raurai
arder(se),raurarii
brazo,razu
eructar,ribuldarii
figura,rigcha
despertar,rigchachii
parecer,rigchai
estar despierto,rigcharaiai
despertarse,rigcharii
que conoce,rigsi
conocido,rigsidu
conocer,rigsii
ir,rii
recaída,rikaida
permitirse recibir,rikuchirii
enriquecerse,rikuiai
relámpago,rilampa
relampaguear,rilampai
palabra,rimai
oreja,rinri
deladearse,ririi
desplomarse,riririi
riesgo,risku
respetarse mutuamente,rispitarii
¡Vámos!,Risunchi
Vámos,Rinchi
piedra,rumi
pedregoso,rumisu
yuca,rumu
idioma inga,runa simi
rondador,rundadur
huevo,rundu
caliente,rupa
quemar (algo),rupachii
calentar (algo),rupaiachii
sentir calor,ruparii
árbol,sacha
saciarse,sagsai
dejarse,sakirii
leña consagrada,salbi iamta
saltar,saltai
diablo,salvanji
aliento,samai
jadeante,samai arkari
dar aliento,samai churai
respirar,samai kachai
brujo,samai pagta
quedar asustado,samaikui
débil,samba
hemorragia nasal,sambai
debilitarse,sambaiai
mazamorra,sambungi
bastante comilón,sambungiru
preparar,samsamiachii
ensimplecerse,samsamiai
venir,samui
planta medicinal,sandi
espeso,sangu
hacer espeso,sanguiachii
volverse espeso,sanguiai
planta sancie,sansi
ciempiés,santu pisu
almohada,sanua
solo,sapalla
zapallo,sapallu
canasta tejida,saparu
maíz,sara
mazamorra,sara api
moteado,sarasa
endurecerse,sarasuiai
áspero,sarga
volverse áspero,sargaiai
pisar,sarui
pisar lento,sarurii
privar,sasichii
abstenerse de,sasii
abstenerse,sasirii
meter,satichii
hacer meter,satichirii
meter,satii
incrustarse,satirii
incrustado,satiska
árbol común,sauki
almohada,sawina
planta arácea,sigsi
comezón,sigsii
subirse,sikarii
nalgas,siki
reforzar,sikinchachii
ciruela,siluira
uña,sillu
trabajo común,simaniru
entretejer,simbachii
amarrar,simbai
estar amarrado,simbaraiai
amarrarse,simbarii
tejido grueso,simbaska
boca,simi
labio,simi kara
idioma,simi rimai
ojalá que,simpri
duro,sinchi
sostener,sinchiachii
ponerse fuerte,sinchiai
encender,sindichii
encender,sindii
