esp,nas
"Artículo 330.De conformidad con la Constitución y las leyes, los territorios indígenas estarán gobernados por consejos conformados y reglamentados según los usos y costumbres de sus comunidades y ejercerán las siguientes funciones: 1. Velar por la aplicación de las normas legales sobre usos del suelo y poblamiento de susterritorios. 2. Diseñar las políticas y planes y programas de desarrollo económicos y social dentro de su territorio, en armonía con el Plan Nacional de Desarrollo. 3. Promover las inversiones públicas en sus territorios y velar por su debida ejecución. 4. Percibir y distribuir sus recursos. 5. Velar por la preservación de los recursos naturales. 6. Coordinar los programas y proyectos promovidos por las diferentes comunidades en su territorio. 7. Colaborar con el mantenimiento del orden público dentro de su territorio de acuerdo con instrucciones y disposiciones del Gobierno Nacional. 8. Representar a los territorios ante el Gobierno Nacional y las demás entidades a las cuales se integren, y 9. Las que les señalen la Constitución y la ley. Parágrafo: La explotación de los recursos naturales, en los territorios indígenas se hará sin desmedro de la integridad cultural, social y económica de las comunidades indígenas. En las decisiones que se adopten respecto de dicha explotación, el Gobierno propiciará la participación de los representantes de las respectivas comunidades.","F'i'n'i pe'la 330. Nasasa ikah kiwet'i', Yuwe Dukhsapwe's' pkhakhec'a ikahpu'n thegut'na, mantey úskiwe'n'i ha'da, Yuwe Dukhsawe's'a Ec Ne'hwe's'hu yuhsa weh'a's k'tey yuuya' K'awe's'a' úus ki'pu hi'pta: 1. kiwe's ew ipe'hwa'has's k'tey kyu'hu'wa'su thegna ipe'he hi'pta', naa ús kiwesu yat tuthapc'ahtepa h'uka. 2. Nasa itháasn'ite yahk'c'a ma'we peeh'tepa ipeyna, ús kiwete h'ukaysa c'háchawa'te nuyi'wa'ha's c'hab walate uta ma'we nuymahiwa' ústepa K'tey kaha'da'na. 3. Ús kiwete v'ua's kihysu weh' pehin'isu kaskhewu'wa'ha's thegna. 4. V'u'a's ipa'kana ewtecekhyuc'a kahat'na naa ús kiwete'. 5. Kiwe's ew ipe'hna, khic'a kihyc'a úsna K'at'i ákhwe'y thegu hi'pta'. 6. Ús kiwete c'habisa kihy mahiwa' yaak'n'i hi'ptepa k'ati puuk' kaha'dana úsu hip'ta'. 7. Ús kiwete yuwe suwekamen ewcehk uswa'te nuyi'n, c'hab walate npicthé'we's' kihy yuwe k'hwetetepa pu'c'hi hi'pta'. 8. Ús kiwe pa'kate Yuwe Duckhsa' tuuthe'wa' kasehtepa c'hab walate npicthé'we's' tas'te kasehna, maa ikah kiwe nwe's' di'psupa huthe hi'pta'. 9. Ec Ne'hwe's'hu yuhsa yuwe kihy pa'hactepa ih tehiyu Yuwe Dukhsa'. KU'TA: Kiwe n'is't'i k'awe nasa ks'av' kiwesu kuki'ya'pc'a' nasasa úskiwe'n'i's huuna suwme, nasa wala hi'pun'it'i suwme tekuki'. C'hab walate npicthé'we's'a' nasa walayakh ya'c'kkadewa' hi'p nasasatewe's Yuwe Dukhsat'i ih thegwa' hi'p tekmahi'."
estrella,"á', á'mush"
calentar,aacha'j-
externo,áacjé
hipócrita,"áacjérráa ew we'wesa, úuste yu' ewmée yaacysa"
a ver,aan
andas,aandas
evidentemente,áandyija'
obligatoriamente,áandyijimée
año,aañu
anualmente,aañu iisa
asaltar,áapj-
abiertamente,"aate, aaga"
causar dolor,"aca ús-, caaca'j-"
doler,"aca yuu-, aca pa'j-, yaaca-"
dolor,"aca, acasa"
caer encina de,acaach-
ahora,ách
hoy,ách
recién,"ách, áchrráa"
ardor,acha
caliente,acha
calor,acha
tierra caliente,acha quiwe
hacer calor,acha yuu-
ligero,"acha, acha acha"
inferior,achamée ew
ahora mismo,áchjíi
hasta ahora,áchpcach
catarro,acj
gripe,acj
trampa,acj
echar,acj-
resfriarse,acj pa'j-
poner,acjicj-
pisar,"a'cji'j-, waacji'cj-"
ajo,acjus
colgar,a'cy-
macana,"acy, a'cjy"
colgado,a'cyni
estar colgado,a'cyni u'p-
aclarar,afi-
tapar,afijmb-
claro,afy
guama,afy
guamo,afy tash
lugar,aj
montar,a'j-
completo,áj
suficiente,áj
ahumar,aj cshi'ta'j-
ahumado,aj uweni
cocinar,"aj-, íitse'j-, mityjaj-"
poder,"aja-, ewuu-, chjáchja-"
alcanzar,"aja-, sumba-"
incompleto,ájmée
insuficiente,ájmée
menos,ájmée
ser indigno,ájmée yuu-
deficiente,ájmeesa
indigno(adj),"ájmeesa, ájmeecuesa"
jinete,a'jsa
capaz,ájsa
poderoso,"ájsa, ewusá, chjáchjasa"
"desprecio, con desprecio",ajtsajtse
aborrecer(v.t),ajtse-
odiar,ajtse-
despreciar,"ajtse-, atseyajcy-, weech-"
menospreciar,"ajtse-, dyí'wéje-"
dar látigo,"ajwend-, ya'jwend-, pechujcue-"
alcalde,alcalte
perro,alcu
almud,almun
alverja,alpes
artesa,altesa
lobo,alum
hacha,am
era,amb
surco,amb
echar,"amb-, ambu'mb-"
derrumbar,a'mbande-
alzar,ambu'ju-
amo,amu
patrón,amu
Vía Láctea,á'mush
altasara,anayún
enrollar,and-
desenrollar,andtende-
mío,andy jíi
conmigo,"andy yacj, ú'cue yacj"
"mí, mis","andy, ú'cue"
yo,"andy, ú'cue"
secar,andyi'j-
cubrir,anz-
carpintero,"anza, fytúu pagayú"
reclinar,anzée-
recostarse,anzée-
pelar los dientes,anzh-
recién nacido,"ápácué, u'se casejsa"
aletear,a'pa'pja-
haba,apas
auyama,ape
zapallo,ape
agonizar,ape-
zancudo,apj
cerrar,apj-
cubrir,apj-
tapar,apj-
mosquito,apj le'ch
escarbar,"apj-, cha'mbu'mb-, wuw-"
tapa,apjáa
cerrado,apjni
empollar,á'pjy-
clueca,á'pysa
poner,aqui'p-
arrendar,arendaí-
arracacha,á's
echar,ásh-
rascadera,á'sh
asno,ashnu
cargar,at-
coger,at-
llevar en la mano,"at-, yaat-"
desplumar,atall cjas ujnde-
pollo,atall luuch
gallo,atall pijts
cantar,atall we'we-
canto del gallo,atall we'wetste
gallinero,atall yat
gallina,"atall, atall u'y"
azul celeste,atate tséy
amarillento,atatelem
luna,a'te
mes,a'te
luna nueva,a'te luuch
luna llena,a'te tjé'j
en tiempo de luna,a'te weete
limpio,"ate, tsejc"
despejar,"atée-, táapj atée-"
vestirse,"atj-, jyaatj-"
vestido,atjni
tranca,"atjni, jatjni"
enfermo,átsá'
enfermarse,átsá'-
sano,átsá'mée
estar enfermo,"átsa'na ús-, úuya' ús-"
enfermo,átsá'sa
desplomarse,atscue-
asco,atsejy
enemigo,atsesa
hablar con desprecio,atsewe'we-
desprecio,atsewe'weni
cernir,a'tsja-
colar,a'tsja-
deshojar,átsja-
"cernidor, cedazo",a'tsjanisa
susunga,a'tsjanisa
acornear,atsju-
trabar,atsju-
desprender,atsjunde-
desprenderse,atsjute-
barbacoa,"átú, deeni átú"
hacer barbacoa,átu'j-
telar,aty tel
poner,atyaj-
investigar,atyáj-
averiguar,"atyáj-, paapéjy-"
ruana,atyj
anaco,"atyj tul, is atyj"
estornudar,a'tyji'j-
aterrizar,aviun cach-
escupir,"avy-, avytjetj-"
echar,aw-
ají,áwá
lucero,á'wala
nativo,aygawe'sh
acá,aysu
aquí,"ayte, ayga, aysu"
por acá,ayuy
jamás,bagach yujva
nunca,"bagach yujva, uca"
"cuando, ¿cuando?","bagach, ma'wén"
siempre,bagachteva
cuandoquiera,"bagachva, ma'wénva"
calentarse,"bajch-, acháa-"
cabuya,bajts
fique,bajts
desfibrar cabuya,bajts cu'nd-
tibio,"bajy, wajwa"
cabuyal,bats ej
sembrado de fique,bats ej
penca de cabuya,bats ets
fibra de cabuya,bats yaj
oxidarse,baytu'c-
chicha,beca
chicha dulce,beca ñusha
chicha fermentada,beca pus
chichería,beca yat
guarapería,beca yat
hacer chicha,beca'j-
estar medio-colgado,becuena ús-
sonrojarse,beecáj-
"colorado, rojo",bej
rojo,bej
arder,bej-
enrojecerse,bej yuu-
ponerse colorado,bej yuu-
rosado,bejbej chijme
vela,bela
estar suspendido,belena u'p-
trapo,"bell, trapu"
bendecir,bendecí-
plato,bich
embijar,biite'j-
ampollar,"bish-, shcambish-"
pintado,bite
umbral,blal
panzón,buc
estar panzón,buc-
espuma,bu'ch
planta medicinal,bu'ch
burbujear,bu'ch-
empezar hervir,bu'ch-
brotar,bucha-
retoñar,bucha-
hacer ruido,bu'mbu-
andamio,bush
roncha,buta
larva,buts
sarampión,buts wee le'chcue
yaruma,"butse, butse tash"
varicela,butswee wajwa
viruela,butswee wala
chinche del árbol,buu
aumentar,cááajá'j-
hacer quemar,caacambu'j-
hacer ahogar,caacambutsje‘j-
echar los cimientos,caachinda'j-
hacer sentarse,caachji'j-
hacer asar,caacjacje'j-
dejar pasar,caacjéu'j-
hacer desatar,caacjimbu'j
hacer arrancar,caacjumbe'j-
dejar hervir,caaclala'j-
hacer confesar,caacmbeesa'j-
hacer ganar,caacnayu'j-
hacer confrontar,caacndyi'pu'j-
hacer vomitar,"caacpunga'j-, cpunga'j"
hacer regar,caacpúushi'j-
hacer creer,caacreí'j-
hacer bailar,caacu'ju'j-
hacer sacar,caacutyi'j-
hacer lavar las manos,caacwcha'j
hacer brillar,caacweetje'j-
hacer poner sombrero,caafícje'j-
causar vivir,"caafi'nze'j-, cfi'nze'j-"
hacer firmar,caafirmaí'j-
hacer vivir,"caafi'ze'j-, cfi'nze'j"
hacer gastar,caagastaí'j-
dejar bajo custodia de otro,caaiipe'je'j
mandar cocer,caaíitse'j-
dar a la hija en casamiento,caaimi'a'j
casar,caaimi'j-
hacer mentir,caaíshi'j
permitir destruir,caaiviitu'j-
comparar,caaja'nda'j-
igualar,caaja'nda'j-
explicar,"caajiyu'j-, cjiyu'j-"
mandato,"caajni, jycaajni"
hacer rezar,caalisa'j-
casar,caamba'j-
ahogarse,caambutsj-
avío,caame
colocar espantapájaros,caanasa'j-
poner espantapájaros,caanasa'j-
engordar,"caanishi'j-, cniishi'j-"
pegar,caanuqui'j-
hacer dejar,caanviitu'j
hacer obedecer,caanwéese'je'j
hacer arrimar,caanze'j-
poner inclinado,caanze'j-(queenze'j-)
hacer cubrirse,caapá'chi'j-
hacer estallar,cáapa'j
detonar,cáapa'j-
permitir llegar,caapa'ja'j-
hacer lavar la cara,caapchjí'ch'j-
hacer reunirse,caapcjaacje'j-
permitir reunirse con,caapcjaacje'j-
hacer enfrentar,caapdyi'pu'j
hacer olvidar,caapechcanu'j-
mandar dar látigo,caapechucue'j-
hacer regalar,caapeesu'j-
propiciar,caapeewecha'j-
arrodillar,caapéjyucue’j-
hacer arrodillarse,caapéjyucue'j-
hacer perdonar,caapeltunaí'j-
hacer abundar,"caapena'j-, cpeena'j-"
permitir enterrar,caapenda'j-
dejar robar,caapeswe'j-
mandar acompañar,caapi'qui'j-
enseñar,"caapiya'j-, peevya'j-"
enseñanza,caapiya'jni
maestro,"caapiya'jsa, peevya'sa"
hacer arreglar,caapj eu'j u'j-
hacer abrir,caapjande'j-
hacer derretir,caapquivi'j
hacer casarse,caaptamu'j-
mandar avisar,caapta'shi'j-
poner fin a,caaptsu'j-
terminar,caaptsu'j-
mandar ayudar,caapu'chji'j-
hacer pelear,caapui'j-
mandar alimentar,caapuutsu'j-
hacer encontrarse,caapuutyuyu'j
conciliar,caapuutywe'we'j-
hacer bajar,caaquíiji'j-
hacer peinar,caaquindu'j-
mandar peinar,caaquindu'j-
mandar poner,caaqui'pu'j-
mandar guardar dieta,caaqui'su'j-
mandar encender,caaqui'ta'j-
hacer gotear,caaquityi'j-
dejar pasar,caascjeu'j-
descansar,"caase-, jycaase-"
hacer encarcelar,caashi'j-
hacer sentir incapaz,caashingu'j
mandar callar,caashuuna'j-
devolver,caashwendu'j-
mandar cortar,caaspétje'j-
amansar,caastyaja'j-
domesticar,caastyaja'j-
hacer resonar,caasyúyú'j-
hacer girar,"caatandy i'j-, ctaandyi'j-"
hacer dar vuelta,"caata'ngu'j- , cta'ngu'j-"
hacer subir,caateca'j
hacer poner en el cepo,caatelu'j-
cargar,caatenzu'j-
hacer enfermar,cáatsa'j
hacer coser,caatsu'j-
hacer llevar,caatu'j
hacer beber,caatundyi'j-
hacer cortar,caatwaca'j-
mandar sentarse,caatywete'j-
hacer vender,caatyweyu'j-
hacer andar,caau'ju-
enojar,caaúuscha'j-
ahogar,caaúuspa'j-
hacer pensar,caaúusutje'j-
hacer pasar por,caauycjéu'j-
hacer ver,caauyu'j-
hacer unir,caaviitse'j-
hacer escupir,caavi'j
mostrar,"caavya'j-, pta'sh- tywes-, ctjeengu'j-"
hacer masticar,caawa'qui'j-
atemorizar,caawáshi'j-
asustar,caáwashi'j-
cabecear,caawúwu-
hacer menear,caawúwu'j-
hacer envolver,caayapu'j-
hacer recordar,caayaqui'j-
hacer endeudar,caayulu'j-
hacer cambiar,caayu'ptje'j-
hacer reconciliar,caayuwewu'j-
cabildo,cabildo
cabildante,"cabilduwe'sh, cjúeswe'sh"
papa,"ca'ca, ca'ga"
posar,cach-
sentarse,"cach-, pish-"
asiento,cachni
estar sentado,cachrra u'p-
cacho,cachu
cuerno,cachu
caja,cacja
caja dental,cacja
menstruar,cacue yu' vyaa-
cuerpo,"cacue, cuejcue"
fiebre,cacuesec
café,café
cosechar café,café ujnde-
limpiar café,café vis-
abrir,cafi'j-
cavar,cafi'j-
agujero,cafy
cueva,cafy
hoyo,cafy
papal,ca'ga ej
hacer entrar,ca'ga'j-
meter,ca'ga'j-
enviar,caj-
subir,"cáj-, cúj-"
alcanzar,cája-
hacer montar a caballo,ca'ja'j
completar,cája'j-
tío,"cajca, ncaaca"
encina,"cajcue, cuejcue"
sobre,"cajcue, cuejcue"
encima de,cajcuega
conejo,cájpy
trenza,ca'jyam
trenzar,"ca'jyam-, tsú'ta'j-"
trenzado,ca'jyamni
caldera,calderu
calzones,calsun
uva silvestre,camañún
quemar,camb-
boda,"camba en, ptamu en"
casamiento,"camba en, ptamu en"
matrimonio,"camba en, ptamu en"
casarse,"camba-, ptamu-"
dejar hervir,cambi'j-
mentir,cami-
mezclar,ca'nd-
asociarse con,"ca'ndu-, nuuqui-"
hacer llorar,ca'ne'j
feo,canzh
apestar,canzh putáa-
oler,canzh putasá
olor,canzh putasá
hablar mal,canzh we'we-
inmoralidad,canzh yuuni
chivo,capia
motilón,capijnz
echar una clueca,cá'pji'j-
cabra,capla
aliviarse,case-
resultar,case'j-
salir,case'j-
salida,case'jete
canasto,cash
ralo,cash
sacar,cashish-
sufrir castigo,castigo cnay-
hacia,"ca't, ca'tu"
encabar,catashi'j-
encabado,catashi'jni
tirante,catj
marco del telar,catjwe'sh
coser,cats-
coatí,cátsa
cusumbe,cátsa
costura,catsni
descoser,"catstende-, catsunde-"
al revés,ca'tu tupyrra
mojar,catu'j-
mejorar,"catyji-, chjáchja-, case-"
hacer estornudar,ca'tyji'ji-
permitir comer,ca'wéje'j-
sacudir,cáwújw-
calmar,caycase'j-
hacer quitar ruana,caycatsunde-
hacer tragar,caycjéje'j-
hacer poner,caypatje'j-
hacer equivocar,caypumba'j-
hacer bajar,caysá'ja'j-
hacer demorar,caytéeyu'j
atrasar,caytéeyu'j-
dejar pasar tiempo,caytjacue'j-
avergonzar,caytjame'j-
causar pena,caytjame'j-
hacer amarrar,caytundu'j-
contentar,caywecha'j
dar ataque,caywéchpa'ja'j-
hacer sanar,caywétu'j
hacer estirar,cayzunzu'j
calentar,cbaji'j-
hervido,cbajy
suspender,cbeele'j-
hacer brotar,cbuucha'j-
hacer chupar,cchaanzha'j-
empachar,cchiiwa'j-
peinilla,cchill wala
machete,"cchill wala, chill wala"
cuchillo,"cchill, chill"
animar,cchjáachja'j-
fortalecer,cchjáachja'j-
dar de mamar,cchu'chu'j
picotear,cda'ndaja-
acostar,cdeeje'j-
adormecer,cdeeje'j-
desvelar,cdeeje'jmée-
hacer bostezar,cdeewayi'j-
hacer pagar,cdeewe'j-
hacer entregar,cduucje'j
hacer escribir,cfi'ja'j-
travesaño,cfind
poner travesaño,cfindúu-
viche,chacha
formar grano,cha'cute-
enfadarse,cha'cy-
pina,chajú
grueso,"chal, lepjy"
chicharrón,chalun
zanja,chamba
cavar zanja,chamba'j-
sarna,chandy
caspl,"chandy, dyí'tjemby"
escoplo,chang
absorber,chanzha-
chupar,chanzha-
despegar,chaquijnde-
empujar,"cháty-, upacy-, upagacy-, upagaqui'cy"
venado,chavy
dar un paso,"chavy-, chavi'vi'-"
higuerón,chavytúu
chiharra,"chawee, seccuet"
quebrar,"chcande-, chcandende-"
quebrarse,"chcate-, upe-"
perico,chí'
gorgojo,chica
gorgorearse,chicáa-
carne,chich
carne pulpa,chich tujnd
cecina,chich ujndy
blanquear,"chiime'j-, pchiime'j-"
blancuzco,chijmchijme
blanco,chijme
ponerse pálido,chijme yuu-
pálido,chijme yuuni
tiesto,chi'la
pata,chinda
pie,chinda
pierna,chinda
espinilla,chinda ca'ca
tobillo,chinda ca'ca
patimocho,chinda much
empeine,chinda pétyj
planta del pie,chinda pjapj
talón,chinda tá'sh
dedo del pie,"chinda vyllill, chinda vi'y a"
tendón,chinda watse
a pie,"chindaj, chindarráa"
cruzar las piernas,chinda's pchat-
colgar,"chita-, chita'ta-"
fuerte,chjáchja
fortalecerse,chjáchja-
recuperarse,chjáchja-
brasa,chjá'chja
confiar en,chjáchja yajcy-
carbón,"chjá'chja, i py chjá'chja"
débil,chjáchjamée
"chanza, broma",chjacue we'we
chancear,chjacue we'we-
cómico,chjacueesa
chistoso,"chjacuesa, pjay"
madrugada,"chji'ndytey, wala cusíi"
mamar,chu'c h-
pecho,chu'ch
teta,chu'ch
pezón,chu'ch letani
destetar,chu'ch tyunde-
chucha,chucha
zarigüeya,chucha
baile de la chucha,chucha cu'jni
baile de la chucha,chucha cu'jni
arrancar,"chucuende-, chuctende-"
arrancar,chucuete-
agudo,"chujwa, chujwe"
filudo,"chújwa, chújwe"
puntiagudo,"chújwa, chújwe"
dorotea,chulfity
chonta,chunda
vara,chunda
trompo,"chunga, jande chunga"
cordón,chu'nzhu
látigo,chu'nzhu
arrugarse,"chu'nzhu-, cue'nzhi-"
orejudo,chúpy
sombrero de ramos,chúpy chwa'
enmohecerse,chuuma'ma-
sombrero,chwa'
ala de sombrero,chwa' ets
carángano,chwatyj
vaca,cía u'y
cielo,"cielu, ée tséy"
bastón,cjáambu
ortiga,cjáas
desgranar,"cjaavi'ji-, cutyj shande-"
tamo,"cjach, tama"
asar,cjacj-
descolgar,"cja'cj linde-, cja'cjtende-"
hormiga,"cjá'cjá, cjá'ng"
asado,cjacjnisa
enjalma,cjalma
quitar enjalma,cjalma spajcy
desengañar,cjalma spajcy-
desenjalmar,cjalma spajcy-
enjalmar,cjalma tyaj-
poner enjalma,cjalma tyaj-
hormiguero,cjá'ng yat
fétido,cjáp
jáquima,cjaquima
lana,cjas
vello,cjas
lana escarmenada,cjas pjapj
madeja de lana,cjas pjapj
cardar,"cjas shunde-, cjaasu'j"
mudar plumas,cjas umbu-
huso,"cjas waga'te, dyi'tj waga'te"
ovillo,cjas wájyand
rueca,cjas wat
jigra de lana,cjas ya'ja
mazamorra,cjash
langosta,cjá'sh
grillo,cjá'sh le'ch
chicha de maíz,cjash yu'
hacer mazamorra,cjashi'j-
lanudo,cjastjé'j
corteza,cja'ty
cuero,cja'ty
piel,cja'ty
vaina,cja'ty
curtir,cja'ty cu'nd-
rejo,cja'tya
dar rejo,cja'tya-
castigar,"cja'tya-, castigaí-"
desprender,cja'tyinde-
desprenderse,cja'tyite-
grano,cjavy
"abajo, hacia abajo",-cjé
abajeño,cjécjenaasuwe'sh
esófago,"cjéendyi'j, jycjéendyi'j"
boca arriba,cjéetee
bajar,cjéj-
caber,cjéj-
convenir,cjí-
poner,cjicj-
centellear,cjicji'cji'j-
amanecer,cjicjy-
aclarar,cjicy-
sombrero de hoja de caña,cjíij chwa'
mata de caña brava,cjíij tash
caña brava,cjíj
desatar,cjimb-
desbaratar,cjimbtende-
hacer tener,cji'pju'j
caña brava del páramo,cjísha
murciélago,cjítse
desenredar,cjlmb-
catarata,cjlse
negro,cjúch
sucio,cjúch
morado,cjúch bejbej
moreno,cjúch ji'j
teñir de negro,cjúchacj-
castaño,cjúchcjúch bej
azul subido,cjúchcjúch tséy
ennegrecerse,cjúchji-
negrecer,cjúchji-
tiznar,cjúchji'j-
borrar,cjúcj-
limpiar,"cjúcj-, nuyaate-"
borrador,cjúcju
juez,cjués
"primero, primeramente",cjué'y
arrancar,cjumbe-
desarraigar,cjumbe-
desarraigarse,cjumbete-
ensuciar,cjúuchji'j-
ceniza,cjuuts
lejía,cjuuts yu'
pólvora,"cjuuts, úpacjuuts"
permitir tocar,cjya'ndyi'j-
dejar crecer el pelo,cjyu'ja'j-
vestir,"cjyú'ju'j-, caatje'j-"
ganado,cla
res,cla
carne de res,claa chich
becerro,claa luuch
garabato,claapatu
clavija,claapjica
carate,claatyi
hervir,clala-
ordeñar,cla's cu's-
clavo,claus
lengua de fuego,clech
flamear,cleechi'chi-
inspector,cleecytul
calle,clliicjun
duende,cllumb
cruz,cluus
mandar crucificar,cluuscje caafyutsu'j-
crucificar,cluuscjé fyuts-
hacer trabajar,cmaají'j-
comadre,cmale
compadre,cmbale
mandíbula,cmbamba
quijada,cmbamba dyi'tj
hacer zumbar,cmbu'mbu'j-
hacer cantar,cmeemu'j-
camisa,cmiisa
hacer amontonar,cmuutsu'j-
espantapájaros,cnaasa'
joven,cna'sa
ganar,cnay-
vencer,cnay-
jornalero,"cnaysá, piun"
cóndor,cndul
guineo,cneeyú
tamal de guineo,cneeyú íts pullu
frente,cnene
hechizar,cne's
chamuscar,cnzeevy-
herida,cpá
lograr capujar,"cpaachaty-, cpaaupacy-"
permitir buscar,cpaacue'j-
lograr hacer entender,cpaacycjiyu'j-
lograr entender,cpaacyjiyu-
lograr tocar,cpaajya'ndy-
lograr recomendar,cpaaneewe'we-
lograr detener,cpaanewe-
lograr llevar,cpaanicy-
lograr Intervenir,cpaanwe'we-
lograr avisar,cpaapta'sh-
permitir contestar,cpaasu'j-
lograr airar,cpaatjeng-
lograr halar,cpaawenzh-
lograr escuchar,cpaawése'j-
Intervenir,cpaawe'we-
cobijar,cpa'chi'j-
hacer llegar,cpa'ja'j
alcanzar,cpajcy-
hacer barrer,cpandu'j-
mandar barrer,cpandu'j-
deshincharse,cpatée-
herir,cpávit-
herirse,cpáyúu-
herido,"cpáyúuni, cpávitni"
herido,cpáyúusa
hacer rodar,cpeelu'j-
hacer gritar,"cpeembe'j-, cweeyi'j-"
dejar pegar,cpeetya'j-
bañar,cpeu'j-
hacer bañar,cpéu'j-
guayaba,"cpiinda, pquiinda"
capitán,cpiitan
trueno,cpi'sh
relámpago,cpi'sh cuejne-
caer rayo,cpi'sh quíj-
tronar,"cpi'sh we'we-, cpi'sh sus-"
tos,cpjáaja'jni
hacer toser,cpjája'j-
permitir ayudar,cpu'chji'j-
jabón,cpun
colerín,"cpunga'j wee, punga wee"
ansia,cpunga'j wéeni
ser padrinos,cpu'nze'j-
padrinos,cpu'nzesawe'sh
apuntalar,cpu'quitje'j-
puntal,cpu'quitje'jwa'jsa
capar,cpuunu'j-
dejar fermentar,cpuuse'j-
creer,creí-
ocupar,cseelpi'j-
utilizar,cseelpi'j-
hacer pliegues,cseembu'j-
hacer servir,"cselpi'j-, caaselpi'j"
diez,csemba
guiñar,csé'sé-
entre,"cshavyte, cshavysu"
en medío de,"cshavyte, cshavysu, pyájte"
soñar,csha'w-
sueño,"csha'w, deewéeni"
echar huso-,cshi’ta'j-
hacer reír,cshiica'j-
cocina,csina
hacer sonar,csuusu'j
alborotar,csuusu'j-
hacer dañar,csuuwu'j-
causar sentir 'señas',cta'ñi'j-
cruzar,ctejca-
pasar,ctejca-
atravesar,"ctejca-, uycjéw-"
mandar lavar,ctjeetje'j-
hacer mirar,ctjengu'j
hacer extender los brazos,ctsja'jya'j-
hacer eructar,ctu'fi'j
emborrachar,ctú'j-
cargar,ctu'se'j-
hacer poner,ctyaaja'j-
molestamente,cuch
"molesto, molestoso",cuch
arenoso,cu'ch
desmoronar,cu'ch-
hacer bulla,cuch susu-
molestar,"cuch vit-, cuch yuu-"
poner pereque,"cuch vit-, cuuchi'j-"
molestar,cuch we'we-
preocuparse,cuch yajcy-
cerdo,cuchi
marrano,cuchi
puerco,cuchi
hocico,cuchi íts
horqueta,cuchi tel
aburrirse,"cuchi-, ya'cuchi-"
niño,cué
sabaleta,cue quiwe wendy
relampaguear,"cuejne-,(rep) cueneene-, cuentete-"
contar un relato,cuentu'j
relatar,cuentu'j-
arruga,cue'nz
fruncir,"cue'nzhu-, cue'nzu-"
"nosotros, nosotras",cue'sh
por nosotros,cue'sh pa'gate
"nuestro, nuestra","cue'sh, cue'shjíi"
Nuestro Salvador,cue'shtyi nwe'wesa
Creador,cue'shtyi taqui'sa
piedra,cuet
roca,cuet peña
cobertizo,cuet pwa'
apedrear(v.t),cuet wáatátáj-
congelar,cuet yuu-
mambe,cuetand
arena,"cuetmuse, muse"
chuleo,"cuetpúts, vyuutyjá'"
granizo,cuetumba
abollar,cuétya-
bastante,cuj
muchos,cuj
bailar,cu'j-
varias veces,cuj us
dudar,cuj yajcy-
vacilar,cuj yajcy-
varios,"cuj, cúj"
multiplicar,cúja-
bailador,cu'jsa
baile,cu'ju
sopa,cujya
cocinar yerba,cujya-
cogollo,cul
derecho,cu'le
recto,"cu'le, sut"
alinear,cu'le'j-
enderezar,cu'le'j-
acogollar,culu-
retoñar,culúu-
"moján, mojano",cumby
jigra de tejido flojo,cumby ya'ja
untar,cu'nd-
cuchara,cunzha
despulpar,cuñ-
castrar,"cuñ-, cpuunu'j-"
enlazar,cú'p-
soga,cú'p cja'tya
búho,"cupe, tyi'fy"
lechuza,"cupe, tyi'fy"
meter,cupjat-
candelilla,"cupjy, ipy cjúch, ech cupjy"
descascarar,"cupy-, tupy-"
quiebra maíz,cupytende-
noche,cus
exprimir,cu's-
quitar,"cusa'j- , ncuusa‘j-"
día siguiente,"cuscay, cuscus"
mañana,"cuscay, cuscus"
hasta mañana,cuscaypcach
hasta mañana,"cuscaypcach, cuscuspcach"
mano,cuse
músculo,cuse chavy
dorso de la mano,cuse meetjacue
dorso de la mano,cuse meetjacue
manco,cuse much
dedo,cuse mush
dedo pulgar,cuse njí'j
pulgar,cuse njí'j
meñique,cuse nuuch
prestar ayuda,"cuse peequi'j-, cu'ta peequi'j-"
muñeca,cuse pétyj
brazo,cuse pi '
antebrazo,cuse pil
palma de la mano,cuse pjapj
palma de la mano,cuse pjapj
palmo menor,cuse pjapj
dedo cordial,cuse úus
índice,cuse vijya
dedo de la mano,"cuse vyllill, cuse vi'ya"
tendón,cuse watse
aplaudir,cusega jypetyatya-
con la mano,cuseju
con la mano,cuseju
en la mano,cúsete
hacer estrechar las manos,cusety cúusu'j
cruzar los brazos,cusety jyaw-
vulva,cush
por la mañana,cusíi
madrugar,cusíi quiite-
medianoche,cuspyáj
"braza, brazada",cu'ta
húmero,cu'ta dyi'tj
hombro,"cu'ta, bap, bamba"
lado opuesto,cute
al lado opuesto,cútete
alejar,cutyi'j-
sacar,cutyi'j-
maíz,cutyj
maíz común,cutyj bej
maíz blanco,cutyj chijme
pelusa de maíz,cutyj cjas
maíz en grano,cutyj cjavy
maizal,cutyj dyi'tj ej
maizal,cutyj ej
maíz pirá,cutyj mush
maíz sarazo,cutyj tupj
maíz capio,cutyj wajwa
hacer brincar,cuupjú'j-
hartar,cuuta'j-
dejar tocar,cuutsje'j-
arrimar,cuutya'j-
acercar,"cuutya'j-, nuyutya-"
flauta,cuvy
tocar flauta,cuvy-
flautista,cuvysá
músico,cuvytewe'sh
absceso,cuw
tumor,cuw
impartir,cu'w-
hacer coger,cuwe'j-
formar tumor,cuwúu-
mirar,cuy-
consolar,cviisha'j-
hacer desyerbar,cviisu'j
