esp,nas
"Esta obra es un trabajo colectivo, el cual se obtuvo a través de cuatro talleres de maestros indígenas del Resguardo de Mosoco, por tanto no es un trabajo individual. Los artículos están escritos en forma de diálogo. Esto nos permitió aprender muchísimo, lo que aprendimos, queremos compartir con todos y por esa razón expresamos aquí nuestro pensamiento.","Naa mhiyu' Musukwete kapiya'sawe's'yakh pahzus pi'kictekyuu, sa' teec'ame mhin'i' f'i'n'i pe'layu' puuk' we'wecna'we yahk'c'a f'i'n'i úsa'.Sa' ayte' wala piyatha'w, sa' h'ukaysayakh it'udewa' hi'pa' ma'wesayakhpa, k'a'pa'katha'w kwe's' d'ik'the yack'n'i's ayte ki'pu'."
víbora,ul weeswée
pasar,ctejca-
purificar,yate-
desasíado,jytjaacue
mote,mutyi
guiar,nuyi'j-
hacer cubrir,cya'patje'j-
redondear,jyandu'j-
llorar,pshiindy-
"Ahora nos queda la tarea de estudiar esta Constitución como indígenas y como colombianos para hacer de Nuestra Constitución una herramienta más para continuar en la defensa de nuestros derechos, pues en la medida que la conozcamos ésta contribuirá a hacer realidades nuestros sueños.","Ác'ha' naa yuwesa' h'ukaysa hiyuwa'k yuu, naa Ec Ne'hwe's'a's nasana'wed'ih, Kulubyatewe's'na'wed'ih atya' ewuc'a, naahuya'ha' hwe pena ya'nwe'wena úsya'; sa' kihy kwe's' f'i'zewa' ewsa ústepa hiyuc'a f'i'zec'ayuc'a kwe's' ks'a'wna'we yaak'n'i's isate k'tey kyu'hu'ya' cwunkha'w."
atajar,yup-
rebajar,nuycjéj-
cacique indígena,sa't
fingir,se'j-
ser padrinos,cpu'nze'j-
agradecer,wecháa-
cocer,íitse'j-
trillar,ujca-
servir como padrinos,pu'nze'j-(lit. dar sombra)
acortarse,"jytuw-, tuwúu-"
adivino,jyta'ñisa
joven,cna'sa
pepino,piináa
pulpa,nish
dormir,dej-
armadillo,shita
árbol,"fytú, fytúu tash"
esquivo,jamby
herido,cpáyúusa
sonar,ptjúuse-
pelear,puii-
mientras,-pcachja'
caro,wala pa'ga
bonito,zhichcue
mirar,"pesay-, pesayu'yu-"
madrugar,cusíi quiite-
mandar guardar dieta,caaqui'su'j-
envolver,"yap-, scand-, scandu'ndu-"
poner,cjicj-
mostrar,"caavya'j-, pta'sh- tywes-, ctjeengu'j-"
embijar,biite'j-
orilla,yu‘ putssu
odiar,ajtse-
acompañar,paau'j-
barriga,tuty
despejado,eena'
agarrar,pachíi-
metal,tsam
mandar cocer,caaíitse'j-
sombra de una persona,pnaasa
fique,bajts
pensar,"yajcy-, úus yajcy-"
menudo,mush
fibra de cabuya,bats yaj
grano,cjavy
gente que tiene costumbres diferentes,fiiy fiiy úiskiwe'n'i hi'psa nasa
investigar,atyáj-
envuelto,yapni
conejo,cájpy
participar en la molienda,paaú'cj-
enojarse,"úusacha-, úuscha-"
"lugar habitual, patria",ús quiwe
capitán,cpiitan
alargar,nuyjyu'ja-
velar,uu pi'cy-
chirriar,ziyaji-
embarazada,nasa ji'pjsa
creer,súj-
escupir,"avy-, avytjetj-"
suspender,cbeele'j-
lejía,cjuuts yu'
varicela,butswee wajwa
rostro,dyi'p
nariz,íts
remedio,yu'tse
"Coordinaron este trabajo los gobernadores: Ernesto Mulcué en 1992, Oseas Lectamo en 1993. Y apoyaron los Resguardos de Huila, Vitoncó, Avirama, Belalcázar, Cuetando, Chinas, Mosoco, San José, Lame, Togoima, Tóez, Tálaga y Araujo. Además dirigente del resguardo indígena de Pitayó; ; como también personalidades de los resguardos del Norte del Cauca presentes en la novena reunión grande de los cabildos en Corinto (9? congreso), lo cual es muy placentero.","Musukwete khabuwe's' naa mhi's nuyi'sa', tuthensa: Ernesto Mul'kuyu' 1992te', Oseas Lektamkuyu' 1993tewe's'a'. Ki' khabute ne'hwe's'we's' na's yu'thegsa', nasasa ks'av' kiwetewe's' naac'aht'yu': Kwed'i', C'Hab wala, Piilamu, Nega, Kwetahd, Suphi, Uswa'l, Musukwe, C'hab U'se, Lame, Tkuyma, Meesa ukwe, Talaka, Arauhu, k'ahu ne'hwe's'a' h'ukat' yu'theg. Sa' Pitayu'sapa úsu'k."
tener cualquier forma de invocación,újusa's ya'newe'wen'i's ma'wesapa hi'puwa'
chlcao,shquiicy
endeudarse,yulu-
permitir llegar,caapa'ja'j-
agonizar,ape-
dos,e'nz
cuesta,pucy
brujería,dyij yuuni
medicinar,yu'tse'j-
arbusto,éjyá
abonar,yul ducj-
recuperarse,chjáchja-
desigual,ja'ndamée
dejar pasar,caascjeu'j-
hasta mañana,"cuscaypcach, cuscuspcach"
muela,qui'tj wala
echar hojas,yeetsu-
negrecer,cjúchji-
apuntalar,cpu'quitje'j-
semana pasada,"jú'na qui'su, ú'na qui'su"
menos,ájmée
destetar,chu'ch tyunde-
causar vivir,"caafi'nze'j-, cfi'nze'j-"
hacer pelear,caapui'j-
picar,tut-
parecido,"na'wé, na'wéy"
bravo,weeswée
caña brava,cjíj
hacer arrear,cyaatsqui'pu'j-
poner,qui'p-
ajeno,vite jíi
librarse,"jycja'ctende-, jycja'cunde-"
apuñalar,"yaaja-, yáaja'ja-"
tacaño,"úshi'ndy, úchji'ndy"
antemano,dyiicjéy
menor,"e'stewe'sh, nuuch, nuuchsa"
zorro,sulu
bienes,ji'pjuni
fondo de la olla,mityj yuc
gracias,"wechuung, wechuui'cue"
dejar bajo custodia de otro,caaiipe'je'j
en tiempo de luna,a'te weete
desarmar,fyutsute-
nuevo,"u'se, u'sesa"
prole,ya'luch
alzar,quiis-
gargantilla,wá'chja
salida del sol,sec cájatste
platanal,pland ej
calor,acha
bajar,spajcy-
secar,andyi'j-
hasta ahora,áchpcach
pisco,shpiipí
territorio de un pueblo grande,C'hab wala kiwe
ánima,taafiy
chorrear,qul'na-
red,ucje
terrible,seena'
zarco,saatill
ascender,tejca-
pujar,"túchjáa-, túchji'chji-"
pasar de un lado a otro,uycjéw-
"suyos, suyas","cyáawe'sh jíi , tyáawe'sh jíi"
bautizado,yasenisa
mecha,pchí'
apoyar,ju'ngu we'we-
sembrado,uutjash
astillarse,petsjate-
calzones,calsun
cinchar,sinzha-
más,wejy
"donde, adonde, ¿dónde?, ¿adonde?","mtee, mgaa"
rempujar,ucapajcy-
dinero,vyu
lombriz,shá'wé
sebo,sepu
mandar callar,caashuuna'j-
duende,cllumb
salto de agua,"qui'na, qui'na wala"
hoy,ách
raíz de árbol,fytúu watse
antepasados,"yatsgawe'sh, manteywe'sh, ju'ngtjé'jwe'sh"
llevar en el hombro o en los brazos,yacj-
miércoles,qui'spyáj
costo,pa'ga
simple,shú
dar látigo,"ajwend-, ya'jwend-, pechujcue-"
"Para nosotros este trabajo fue una experiencia muy satisfactoria. Muy satisfactorio también sentir la vitalidad de estos pueblos antiguos, emprendiendo nuevos caminos de entendimiento del mundo de hoy, que sean a la vez nuevos caminos de profundización de su memoria. A todos muchas gracias.","Naa mhiyu' kwe's'ti walayuh wec'ayuhsayu'k.Nasasawe's'a' we's'me sena k'ac'hwe's'sa ác'pa v'itu v'itume c'hác'ha ústeyu' kwe's't'ipa sena wec'ayuhsa', naa kiwete ác'a eenkayu' maasapa d'i' u'se pakwena ústa' puuk' ha'dac'ah;sa' naa d'i' u'se's yahk'c'a d'ik'thete weh'kwe d'iite u'kawa'ha'stha'w itháasu'.Sa' h'ukaysatti wala wec'a'th."
familia,yattewe'sh
semanalmente,qui'sute
dar rejo,cja'tya-
vejez,"íishweete, penzhweete"
quedar,neeyúu-
dar calambre,sháacáj u'j-
demorar,"jytjéeyuu-, tyachi-"
bajar,cjéj-
amasar,masaí-
cuerpo,"cacue, cuejcue"
compartir comida de otro,paaú'we-
grieta,shish
preparar,pjeu'j-
a pie,"chindaj, chindarráa"
mío,andy jíi
borrador,cjúcju
despajar,spjamb-
contento,wechana
poner gotas,quityji'tyji-
de tierra lejana,jyu'j quiwejuwe'sh
gorgojo,chica
ser amado,iiwejndy-
martes,maltyis
romperse,"sute-, sute'te-"
humedecer,tupjáa-
tener celos,"iipyáj-, piipyáj-"
procurar,pa'pchu-
penetrar,peetjee-
mirar,"squii-, squiiyu'yu-"
"centro, en el centro de",pyájte
apartarse,tyutée-
hacer reconciliar,caayuwewu'j-
arañar,pachíi-
extraño,fiy
atemorizarse,úucj yajcy-
cambiar de aspecto,fiy yuu-
acornear,atsju-
descoser,"catstende-, catsunde-"
desarraigarse,cjumbete-
aguardiente,"wallinde, wellinda"
tío con sobrino o sobrina,pcaaca
blanquear,"chiime'j-, pchiime'j-"
pensar mal,"fiy yajcy-, ewmée yajcy-"
prematuro,"iitee, iitey"
dejar escapar,quiiyu'j-
cántaro,yu'mity
ser burlado,ya'iweech-
baile,cu'ju
sembrador,uujsá
coyuntura,findy
"ellos, ellas",tyáawe'sh
ojo de agua,yu'íts
abierto,pjanden i
vientre,"tutyj, tutyj dyiite"
asfixiarse,úuspa'-
serranía,vitssu
amanecer,cjicjy-
llaga,wá'jy
carne de res,claa chich
desobedecer,nwéese'jmée-
comprar,wey-
encabado,catashi'jni
calentar,aacha'j-
sentir extraño,fiycáj-
mata de hongo,une tash
"moján, mojano",cumby
nombrado,yaasesa
ayunar,yúuna-
jornalero,"cnaysá, piun"
hacer bailar,caacu'ju'j-
remendar,"pa'cj-, pjulaí-"
apetecible,ñuspa'
meñique,cuse nuuch
colerín,"cpunga'j wee, punga wee"
recto,"cu'le, sut"
zapallo,ape
altasara,anayún
a favor de,ju'ngu
caja,cacja
desenfrenar,frenu's pajnde-
hondo,"dyii, jyu'j"
marteja,wenze
por la tarde,"fi'nzetste, cusutste"
hacer regar,caacpúushi'j-
tener amistad,namicu yuu-
hacer medir,quiisa'j
aguantar,wantaí-
moquear,ñutyji-
padrastro,ney npaasa
chinche del árbol,buu
utilizar,cseelpi'j-
piojo,és
correr brisa,wejya'jya-
quitar,quis-
verdugo,pcyuusá
acabar,pemba-
gotera,tsund
pertenecer,jíi
tamal de guineo,cneeyú íts pullu
alcanzar,cpajcy-
"Afectuosamente,",Puuk' peykahna
traer,nuypesa-
"espigar, echar espigas",viitsu-
mirar a lo lejos,spay-
mamá,mama
ocultar,peenda-
enredarse,"ya'ndu-, yaandúu-"
flauta,cuvy
esponjarse,spápá
dejarse coger,iiwe-
camisa,cmiisa
importante,walasa
ponerse colorado,bej yuu-
malacate,waga'te dyi'tj
hacer ver,caauyu'j-
hija con el padre o la madre,pniisa
viga transversal,pand
teñir de negro,cjúchacj-
dedo cordial,cuse úus
estar desnivelado,tjujarra ús-
bañarse,péw-
flautista,cuvysá
jigra,ya'ja
flauta,"sende cuvy, tsjende cuvy"
hacer vomitar,"caacpunga'j-, cpunga'j"
mostrenco,iisawa'jnimée
gallinazo,méewéjy
trasnochar,"dejmée pe'te-, deepang-"
territorio de prominencia indígena,nasawe's' ks'av' kiwe
casar,caaimi'j-
menospreciar,"ajtse-, dyí'wéje-"
tocar,"tu'ca-, tu'caca-, tucaaca-. pu'tata-"
cabecera,dyictjé ju'ngu
cruzar,ctejca-
húmero,cu'ta dyi'tj
chiflar,"ufy-, ufyjiifi-"
despedazarse,"pe'late-, pe'ltete-"
enjalma,cjalma
atacar,cvis-
"ir, irse",u'j-
regarse,úshi-
torcaz pequeño,"tucú, chí'ch"
huerta,"walta, tul"
marido,nmi'
casa con patio adentro,yat tul
liendre,és zits
chicha de caña,ñusha beca
"No solamente tuvimos, con la ayuda de los abogados, que aclarar, explicar y comentar el texto de la Constitución sino que, para acercar este pensamiento a culturas que no han conocido sino hasta hace muy poco la escritura alfabética o una organización social en ciudades, tuvimos que averiguar el nacimiento en el mundo occidental de muchas de estas palabras e ideas jurídicas : averiguar con filólogos, estudiar con filósofos, comparar con antropólogos, qué significado originario tienen palabras como ""derecho, ley, Estado, autoridad, ciudadanía, democracia, etc.”, entre las tribus indo-europeas de la Antigijedad, entre griegos y latinos y también entre pueblos de otras tradiciones que se inventaron esta clase de nociones y palabras cuando el uso de la escritura y el acercamiento al mundo de las ciudades los impulsó a formalizar y desarrollar sus instituciones políticas, religiosas, económicas y penales. Este trabajo y una constante discusión sobre las, muy diversas, tradiciones indígenas de Colombia nos permitieron ayudar a acuñar expresiones que no fueran simples equivalentes sino que se construyeran sobre raices fundamentales de la lengua. Los símbolos de la casa, del cuerpo, de las direcciones del cósmos, de la firmeza, de la palabra sagrada como compromiso, y tantos otros, fueron así utilizados para este nuevo uso, así como lo fueran, en el nacimiento de la forma escrita del derecho donde quiera que apareciera.","Sa' naas Ec Ne'hwe's'te k'a weh'asu hiisayakh ipi'k'c'a kpahk'na u'hc'ametha'w isayu' úskiwe'n'it'i puuk' pd'i'p kaha'da'wa'k kaseh, k'awemeyu' teec'sa' k'anc'a naa f'i'hn'i's hiyucte', v'ite, c'hab v'itc'a fi'zesa' mantey ma'we yahk'c'a k'awe neesya' pú't'htepa k'an eentey we'wen'it'i h'uka ya'papeywa'k kaseh ma'we yahk'c'a ikahn'i's, f'iiy f'iiy hiiyuun'isa ústepa k'aisa ya'papehyna k'aniteya' k'ahya'sne'ta waas yuwete' yuwete' derecho, ley, Estado, autoridad, ciudadanía, democracia, hín'i's; sa' griegopwe's', latinopwe's', ki' k'awe's' c'ame v'ite nasa walapa k'a'wey úskiwe'n'i v'itna úsc'a' ma'wene'ta we'wewa'a's úsyahk'na u'hwecyu'; f'i'hn'ima'kyuu, yat c'hab yuuna u'hweste K'apkac'ha' h'ukaisa ithásn'isuwe's' kwekwe f'ii peeh'sa kasehecte; úusa's ya'newe'wen'i;h'ukaisahi's f'iin f'iin atwa'tewe's'; áhme yuusahi kwekwe v'itwa' k'a'weka kaseh. yu'k'pehwa'. Naa mhipu'nte mazkwesayakhpa ipuk'we'we úsc'a maa úskiwe'n'it'ipa thegna ks'aav'su yuwe íis'ti f'ít'hna, yuwe u'se v'itc'a akhc'apa yuweisa ma'we yuute k'aisa kpahk'c'atha'w kawece'. Naa weh'ate kaha'dana we'wen'i' yat, kwekwe, v'ite d'i'ha' úustewe's'ta' sa' ma'híc'apa K'tec'a c'hác'ha ipu'kithn'i' k'ahy k'ahypa u'kat' na'we we'wen'i u'sete', ya'nwe'wena f'izewa' weh'ate f'i'na u'hwecte ma'weka kaseh k'a'wéy."
abrigarse,"ya'patj-, cja'-"
vender,tywey-
uvillo,shbu
hierro,tsam
relampaguear,"cuejne-,(rep) cueneene-, cuentete-"
demostrar tener hambre,wéepang-
dorso de la mano,cuse meetjacue
argumentar,puiiwe'we-
nacimiento,upyni
"nombramiento del mandatario por escogencia general, toma de una idea con la opinión de todos","nasa kuh úushu npicthé' ki'pn'i, h'ukaysa we'wen'ihu yuwe teec' hwedsac'a kuki'n'i"
hacer casarse,caaptamu'j-
águila,uj
riñón,us
arrollar(v.t),tpand-
indígena pijao,pi'pyshavy
imitar,shi'nd-
músculo,cuse chavy
piusa,vichacue cjas
anuncio,pta'shni
culpable,yuuwesa
bordón,fytúu vica
endurecer,nuywejy-
mano,cuse
esparcir,púsh-
formar grano,cha'cute-
permanecer,nes yuu-
ultrajar,"wéeshu-, pcyuuwe'we-"
hermano con hermano,pyacj
resbaloso,"lavy, sha'tyj"
yerba medicinal,"shúulape, shuulepja, shúuwa'c, shúuwe'tj, shúuyu'tscavy"
gente,nasa
prender,"ipy quityáa-, ñiñi-"
espina,tsjútsj
endurecer,"cweeji'j-, cwe'lli'j-"
criar,"nuytjé'j-, nuywala-"
enfermedad contagiosa,teega wee
montar,a'j-
llorón,"shindy, chjindy"
inundar,ícj uta-
pegar,caanuqui'j-
puntal,cpu'quitje'jwa'jsa
aflojar,"lashi- , lajcy-, nuylajcy-"
dejar tocar,cuutsje'j-
siempre,pejca
latir ,úus úpjúpj-
rabiarse,puuty pyúuscue-
detonar,cáapa'j-
sombra,pshu
igualar,caaja'nda'j-
tirar,"wáatáj-, wáatátáj-"
aplanar,uucue'j-
desatar,cjimb-
tener vástago,shá'py-
cordón umbilical,shamb wes
"Anteriormente cuando los castellanoes llegaron del otro lado del mar al territorio indígena, nos trataron de modo jamás visto, violaron a las mujeres, robaron-el oro que se guardaba para el momento de las gracias a nuestros dioses (ritos), arrasaron pueblos enteros y con el tiempo delimitaron los territorios para ellos gobernar y someternos conformando las naciones, dándoles nombres distintos. El territorio donde actualmente nos encontramos lo llamaron Colombia.","Ác'ha' waaswe's' Ec Ne'hwe's' ma'weteka kasehna pa'h k'a's le'c'kwe yaakika: Nyaafteya' íkh kutehu pesahsa waas nasa ks'av' kiwete pa'hc'a', kwe's't'i sena uy uymethé' pk'una, pemaa nasa c'habt'i' pebana, kwe's' d'uust'i wec'awa' h'aawn'i v'u beha's pesweena, u'yt'i nuuwena, nasa c'habt'i akac'hna; k'a'we yuuna úsi k'ac'te' kiwe wala's suk'tad'ya' uwet', k'awe's' ikahya' c'hab wala kiwe v'itna fiiy fiiy yasena u'hna. Ayte c'hab walasa' Kulubyat' yase. K'a íkh kutehuwe's' zuun pehnac'a', isa íkh kutehu pesahsa waast'i' puyic'a kuki't'; newuuc'a ác'ha' naa kiwekaya' up'hsa npicthé' yuuc'a naa Kulubya's ikahna ústa', k'a'we puyina úste, nasasa ha'da pu'c'hna ee h'awn'ikyu'. Napa naa c'hab walatewe's'pwe's'a' k'apwe's puyime úsya' híc'at' Ec Ne'hwe's' f'i'c' ikahya' Uwe."
saciar,tyic-
pechanga,pchanga
ahijado,"neenchi'c, iicjalu"
lograr airar,cpaatjeng-
fuete,yaatul
dolor,"aca, acasa"
ahumar,aj cshi'ta'j-
cruzarse en el camino,ptyijnde-
faja,taw
soplador,yutjáa
pedido,péyni
llovizna,"nus muse, nus wajwa, nus cu'ch"
rayar,suty-
cercar,upjáa-
agrandar,nuywala-
pues,"-vacy,-va'cy"
hija menor,niisa nuuchsa
amarillo,"lem, lemtjé'j, shquiicy"
coser,cats-
padre,ney
sudor,pé'ts
cana,fime
vado,yu'pets
palmo menor,cuse pjapj
practicar brujería,dyij yuu-
"occidente, oeste",sec cjéeni
alpargata,pelgatyi
hacer beber,caatundyi'j-
búho,"cupe, tyi'fy"
poner marca,syaalu'j-
trenza,ca'jyam
desconocer,paaunu-
recio,sus
"cual, ¿cuál?",maa
flaco,"tall, íchj"
chorrlzo,jemb
puesto del sol,sec cjéjetste
frailejón,"és ets, we'pe és"
alimentar,"puuts-, sá'ji-"
templar,"sgajnde-, spandende-"
limón,llimún
entregarse,ya'ducj-
sala,ñujne
postrado,peecy tuty
permitir ayudar,cpu'chji'j-
trapiche de mano,ñusha tel
saíno,yu'cj cuchi
acusar,ewmée yuwe ús-
agujerear,swejnde-
espeso,"wata, fitse"
rendir,pejna-
plata,vyu
maldición,cysew we'weni
"nieto, nieta",ntsun
mitad,"pyájn, puuvyájn"
brasa,chjá'chja
rogar,fytjaa we'we-
cuenta,"yul, yuul"
tío,yúucue
boca,yuwe
fornicador,pdeepits
molido,ú'cjni
huarango,mushclé
claro de huevo,zits chijme
cocinar,"aj-, íitse'j-, mityjaj-"
columpiar,tsuvy-
"Artículo 287. Las entidades territoriales gozan de autonomía para la gestión de sus intereses, y dentro de los límites de la Constitución y la ley. En tal virtud tendrán los siguientes derechos: 1. Gobernarse por autoridades propias. 2. Ejercer las competencias que les correspondan. 3. Administrar los recursos y establecer los tributos necesarios para el cumplimiento de susfunciones. 4. Participar en las rentas nacionales.","F'i'n'i pe'la 287. Naa ikahwa' t'utedn'i kiwete' maa maapa peek' úushu yuuwa' hi'pta', K'awe's' ithásn'ite ma'we ipeyn'i ha'da, Ec Ne'hwe's' mtepa' ikah ha'da. K'a weh'ate na'we yuuwa' hi'pta' hí'k : 1. Peek' ne'hwe's'yakh ya'ikahna teús. 2. Kwekwe's ipa'kac'a' ne'hwe's'a' c'haba's k'tey yuuwa' hi'pta'. 3. Hi'pun'i ikahn'i kwekwetewe's't'i ew thegna, pkhakhn'i v'u u'kasa's ew kaselpina,K'tey K'tey yuuya' ya'tuduya'. 4. C'hab wala kiwete pkhakhn'i v'ua's ipa'kana."
pañolón,pa'chnisa
azul subido,cjúchcjúch tséy
lechero,fychacha
caldo,nenga yu'
culpa,yuuwe
arremangar,tpand-
"pescado, pez",wendy
tu,"iindy, i'cue, icha"
detener,newe-
padecer,"fytjaa yuu-, pa'ga yuu-"
polvo,quiwe tujnd
hielo,yu'cuet
entrada,u'cani
dejarse engañar,ya'gaña-
hacer abundar,"caapena'j-, cpeena'j-"
aliviar,nuycase-
hacer poner sombrero,caafícje'j-
trepar,tejca-
herrero,tsam tut-sa
apretar,ptjuc-
ceñir,jytund-
orilla,dyi'j putste
rincón,yat punza
amparar,nwe'we-
cerro,tjá'j
cachete,pucacuet
alacrán,usmity
golpe,icani
hacer desatar,caacjimbu'j
lejos,jyu'j
venta,tyweywa'j
por,-pa'ga
enterrar,pendáa-
cloquear,lucjlucj jí-
pariente,"nwe'sh, pwe'sh"
"cuando, ¿cuando?","bagach, ma'wén"
estar renuente,wa'l-
tímido,"paaúucjsa, paayúucjsa"
vaina,cja'ty
varios,"cuj, cúj"
abrir,pjande-
vigilar,paatjeng-
deficiente,ájmeesa
traer,nuypa'j-
yerno,nduj
fracturar,jypang-
dejar pasar,caacjéu'j-
bastón,cjáambu
amante,pdeeu'y
retiñir,tsñiñi-
desvelar,cdeeje'jmée-
realmente,pejca
resfriarse,acj pa'j-
hacer equivocar,caypumba'j-
estar enfermo,"átsa'na ús-, úuya' ús-"
castaño,cjúchcjúch bej
agrio,tyji'mb
encontrar,uy-
vestirse,is-
bifurcarse,ptyute-
encenillo,tsute
enrazada,tuya
pene,"iw, chull"
puente,wej
hacer dañar,csuuwu'j-
poner,aqui'p-
esquivar,jamby-
mezquinar,sendy-
brazo,cuse pi '
preguntar,paapéjy-
tierra,quiwe
carirredondo,jyú'nzhcué
macana,"acy, a'cjy"
orejudo,chúpy
mandadero,nivychach
"Lo aquí escrito del libro mayor está repartido en tres partes, en cada uno de ellas hay cosas de interés para el conocimiento: en el primero, es la traducción contextual escrita en la lengua indígena; en el segundo, lo que dice en castellano; por último, lo que permite comparar la forma diversa que toma cada pensamiento.","Ec Ne'hwe's'tewe's'a's ayte f'i'n'i tekhasu t'uden'i' k'a isahy hiyuwa' hi'pa': nyafte' Nasa Yuwete úsa'; e'ste' waas yuwete úsa', nmehte' we'wen'i yuweisa d'ik'the yaak'n'i ma'weta f'iiy f'iiy u'hwe' k'a's kaha'da'na thegc'a hiyuwa' úsa'. "
"Artículo 63 y 72. Los bienes de Colombia son de todos: bosques de parques naturales, tierras comunales y de resguardos indios, los restos antígilos. El patrimonio arqueológico y otros bienes culturales que conforman la identidad nacional, pertenecen a la Nación y son inalienables, inembargables e imprescriptibles. La ley establecerá los mecanismos para readquirirlos cuando se encuentren en manos de particulares y reglamentará los derechos especiales que pudieran tener los grupos étnicos asentados en territorios de riqueza arqueológica.","F'i'n'i pe'la 63 y 72. Naa kulubyatewe'shi hi'pun'i kihy kihypa ústa'na' h'ukaysahítewe's'ta': f'tú wala yu'kh, nasawe's' ks'av' kiwe, hu'gthé'we's' nv'itn'i uu kaf'suwe's'; k'aa' kwe's' c'hab walahi'sahíc'ata'. Naat'i's kimyuhpa f'ihuwe's't'i k'wayya' ewuwa'mesa'; waasma'kyuu waasmema'kyuu napa yuulpa'ka pu'ze'ya', suwya', iv'ituya', ewya' K'ac'h k'ah' kusete yaatthu híc'a yaamuya' k'a'wemec'a' nasasa ks'av' kiwetewe's'thu híc'apa ewuwa'mesa'; K'a'sa' c'hab walate npicthé' nwe'we hi'pa'. Hu'gthé'we's' v'isn'it'i' nasasayakha' Ec Ne'hwe's'ic'a nasasawe's' kusesu ha'da nv'itu hi'pa'. "
trabajo,"mjíi, mjíini"
enviar,caj-
ABELARDO RAMOS,Abelardo Ramos
hacer mal,ewmée yúu-
castrar,"cuñ-, cpuunu'j-"
salir el sol,sec cáj-
enemigo,atsesa
en vano,cyul
trigo,scuutyj
telar,aty tel
difícil,tjéy
temprano en la noche,éeíi cus
tijereta,"uschi', menz shá'py"
torcerse,ta'ts-
asunto de terreno,quiwe yuwe
tallo de maíz,shimb dyi'tj
favorecer,ju'ngu yuu-
cintura,jytund yaj
cerrar los ojos,yafya's upj-
lo que no se puede quitar por deuda,yuulpa'ka ukhe'wa' hi'pmesa
desgarrarse,"shú'tete-, shú'wete-"
sorpresivamente,yaacynimeete
cadáver,"uuni cacue, cacue cja'ty"
dulce,ñusha
ciempiés,"túpil, ultúpy"
apretarse,pteenzúu-
aguja,"ñunz, yujnz"
"adonde, ¿adonde?","mtee, mcaa, mdyi i, msuu"
portarse mal,fiy yúu-
zamarro,smala
terminar,"jyá'j-, ptsuu-"
puerta,vity
desagradar,pyajtse-
congregarse,shambúu-
murmurar,"susmée we'we-, we'wewe-"
chistoso,"chjacuesa, pjay"
granero,ú' jyaw yat
danta,jimba cjúch
trampa,acj
dibujo,piisani
ojo de aguja,"yunz cafy, ñunz cafy"
hemorragia,"eeswee, cacue yu'"
plano,ucue
colar,a'tsja-
Artículo 18. Se garantiza la libertad de conciencia. Nadie será molestado por razón de sus convicciones o creencias ni compelido a revelarlas ni obligado a actuar contra su conciencia,F'i'n'i pe'la 18. Nasa' peek' úuste ma'we yaak'n'i' yuuwemesa'. Kimyuhapa kihysu pekhakhena u'hupa'ka huunayuu pkhakh kaakwede'n'i u'hu hi'pme'.
hambre,wéjé
ahuyentar,pajy-
nadar,pejnd-
avergonzar,caytjame'j-
lugar,aj
maltrato,pcyuuni
fino,ewsa
urraca,ulchic
agutí,ñu'py le'chcué
mí a,ú'cue jíi
choclo,tsut
sacerdote,pal
boda,"camba en, ptamu en"
leer,léeí-
comadreja,"wáyáy, wéyíy"
vergonzoso,"tjame yuj , tjaampa', paytjame'"
rata,unza wala
hace mucho tiempo,tyach
"montón, montículo",muts
dar sombra,pu'nze'j-
contraer una enfermedad,wee cnay-
despulpar,cuñ-
lagartija,"lawéch, quiwellill"
brillar,"cwejne-, cweetj-, pu'i nene-"
helecho,cwé'yá
"nuestro, nuestra","cue'sh, cue'shjíi"
cerbatana,fytúupatj
salir mazorcas,sñula-
manojo,tund
perder sabor,shúucáj-
hacer lavar la cara,caapchjí'ch'j-
reunirse,pcjaacje-
"Solo se hizo la traducción en siete lenguas : el Wayúnaiki de la Guajira, el Nasa Yuwe o Páez del Cauca, el Guambiano del Cauca, el Ika o Arhuaco de la Sierra Nevada de Santa Marta, el Camentsa y el Inga de Sibundoy, el Cubeo del Vaupés. Estas lenguas están entre las más habladas de las sesenta y cinco lenguas diferentes que existen en Colombia. Sin embargo quedaron todas las otras por fuera de este esfuerzo, algunas con muchos hablantes también. Las limitaciones en cuanto al dinero y en cuanto a linguistas indígenas disponibles nos impidieron cubrir otras lenguas por esta vez. Esperamos que pronto se pueda dar una experiencia semejante en otras comunidades que lo deseen.","Nasawe's' yuwete 7c'atha'w kuki' Ec Ne'hwe's'a's:Wayúnayki' Wahiratewe's'; Nasa Yuwe, Muuwe's' Yuweyakha' Kawkatewe's'ta'; Ika meec'a' arwaku' Sierra Nevada de Santa Martatewe's'ta'; Sibundoyte Iga, kkamentsayakha' Putumayutewe's'ta'; Kubewa' Bawpesteew's'a'.Napa h'ukateyu' 65sa' naa thaakwe nasa thuth hi'psata' k'awe's' yuwe's we'wesa isa naa Kulubyateyu'.K'aha' nasa ew kuhit' nenyu pet' k'ah áh hiisapa peh'inwe's' yuwe's we'wesa kuhi hi'psa h'uka. ác'teyu' v'upa peh'icte, nasawe's yuweisa yaf'te áh áh hiisapa ph'inkuyuu.Nasa wala mtewe's'pa pehic'ayu' tudkweyu' na'wéy yu'skhew itháasu'tha'w."
encina,"cajcue, cuejcue"
permitir comer,ca'wéje'j-
ennegrecerse,cjúchji-
ABELARDO RAMOS,ABELARDO RAMOS
dorotea,chulfity
brotar,bucha-
